ID,Name_lang
3,Fleischfresser
89,Höllenbestie
304,Teufelsross
305,Schimmel
416,Wichtel
417,Teufelsjäger
444,Graf Ferkel
721,Kaninchen
1748,Hochlord Bolvar Fordragon
1860,Leerwandler
1863,Sukkubus
2671,Mechanisches Eichhörnchen
2748,Archaedas
3524,Geisterwolf
3771,Höllenrufer der Herzschinder
3823,Geisterpfotenläufer
3956,Harklan Mondhain
4075,Ratte
4274,Fenrus der Verschlinger
4275,Erzmagier Arugal
4780,Schwarzer Widder
5198,Arktischer Wolf
7109,Jadefeuerteufelsanbeter
7380,Siamkatze
7381,Silberne Tigerkatze
7382,Orangefarbene Tigerkatze
7383,Schwarze Tigerkatze
7384,Cornish Rex
7385,Bombaykatze
7386,Weißes Kätzchen
7387,Grünflügelara
7388,Kakadu
7389,Senegal
7390,Nymphensittich
7391,Hyazinthara
7392,Präriehuhn
7393,Weißes Leghorn
7394,Anconahuhn
7395,Kakerlake von Unterstadt
7543,Dunkelwelpling
7544,Purpurroter Welpling
7545,Smaragdgrüner Welpling
7546,Bronzewelpling
7547,Azurblauer Welpling
7548,Feenling
7549,Baumfrosch
7550,Waldfrosch
7551,Pfeilfrosch
7552,Inselfrosch
7553,Großer Uhu
7554,Schneeeule
7555,Sperbereule
7556,Adlereule
7560,Schneehase
7561,Albinonatter
7562,Braune Natter
7563,Blauer Flitzer
7565,Schwarze Königsnatter
7566,Scharlachrote Natter
7567,Purpurrote Natter
7568,Bandnatter
7569,Grüne Wassernatter
7570,Elfenirrwisch
7952,Zjolnir
8376,Mechanisches Huhn
9656,Winzige wandelnde Bombe
9657,Lil' Smoky
9662,Junger Grimmlingflitzer
9936,Verderbtes Kätzchen
10259,Worgwelpe
10261,Brennender Teufelshund
10414,Flickwerkschrecken
10578,Bom'bay
10598,Glimmernetzjungtier
11236,Blutpapagei
11325,Pandababy
11326,Mini-Diablo
11327,Zergling
11502,Ragnaros
11822,Aufseher der Mondlichtung
11859,Verdammniswache
12222,Kriechender Schlick
12350,Violetter Reitraptor
12419,Lebensechte Kröte
14042,Rytama
14143,Ar'lia
14305,Menschenwaisenkind
14421,Brauner Präriehund
14444,Orcwaisenkind
14505,Schreckensross
14629,Flachkopfschnappkiefer
14630,Lederrückenschnappkiefer
14631,Olivfarbener Schnappkiefer
14632,Falkenschnabelschnappkiefer
14633,Albinoschnappkiefer
14744,Frostwolfheuler
14755,Winziger grüner Drache
14756,Winziger roter Drache
14878,Jubling
15186,Murky
15356,Blaues Murlocbaby
15357,Lila Murlocbaby
15358,Lurky
15359,Rosa Murlocbaby
15360,Grünes Murlocbaby
15361,Murki
15429,Ekelhafter Schlammling
15548,Spektraler Hengst
15661,Babyhai
15698,Vater Winters Helfer
15699,Ruhiger mechanischer Yeti
15705,Vater Winters kleiner Helfer
15706,Winterrentier
15710,Winziger Schneemann
16069,Gurky
16085,Q. Pido
16445,Terky
16456,Poley
16547,Flinky
16548,Dr. Wackel
16549,Schnurri die Ratte
16628,Auktionatorin Caidori
16701,Geist des Sommers
16800,Großmagister Rommath
16801,Halduron Wolkenglanz
17026,Grom Höllschrei
17252,Teufelswache
17254,Ash'ana
17255,Hippogryphenjunges
18063,Garrosh
18075,Mannoroth
18377,Schneller roter Windreiter
18381,Netherwelpe
18839,Magischer Flusskrebs
19044,Gruul der Drachenschlächter
19622,Kael'thas Sonnenwanderer
19935,Soridormi
20245,Dr. Kater
20246,Mannie
20247,Miezi
20350,Kel'Thuzad
20408,Manawyrmling
20472,Braunes Kaninchen
21008,Gelbe Motte
21009,Rote Motte
21010,Blaue Motte
21018,Weiße Motte
21055,Goldenes Drachenfalkenjunges
21056,Blaues Drachenfalkenjunges
21063,Silbernes Drachenfalkenjunges
21064,Rotes Drachenfalkenjunges
21076,Glühwürmchen
21266,Felshetzerjungtier
22174,Trigul
22328,Ferngesteuerter Spielzeugmörserpanzer
22445,Minischwing
22484,Zeppit
22514,Weißer Reittalbuk
22522,Superthrall
22817,Blutelfenwaisenkind
22818,Draeneiwaisenkind
22943,Wolpertinger
23114,Rudi
23159,Okuno
23198,Rudi
23220,Assassine der Shivarra
23231,Willy
23234,Bananas
23258,Kolumbus
23266,Erdnuss
23274,Stinker
23439,Hungriger Netherrochen
23909,Gruselkürbis
23944,Zul'jins Essenz
24266,Arthas
24267,Arthas
24268,Arthas
24388,Zähnchen
24389,Matschbrabbel
24480,Mojo
24753,Kleiner rosafarbener Dickhäuter
24968,Aufziehraketenbot
25062,Winziger Sporensegler
25109,Raketenhühnchen
25110,Papierdrachen
25146,Goldenes Schwein
25147,Silbernes Schwein
25165,Lady Sacrolash
25180,Schneller schwarzer Kriegswidder
25706,Sengender Flämmling
26050,Knurri
26056,Schnapp
26115,Sinistrer Hüter des Blutes
26119,Phönixküken
26243,Purpurschlange
26499,Arthas
26613,Arktisches Grizzlyjunges
26614,Wildschneehase
26966,Schattenhafter Peiniger
27017,Ausgelaugter Kriegsgolem
27217,Kampfgeist
27346,Kampfesprit
27438,Regenbogenforelle
27638,Azurblauer Ringwächter
27798,Wiedergeborene Himmelsklaue
27914,Astraler Seelenhändler
28267,Koyotengeist
28470,Netherrochenlarve
28513,Vampirfledermäuschen
28878,Skelettdiener
28883,Frosti
28960,Totally Generic Bunny (JSB)
29089,Mini-Tyrael
29147,Geisterhafter Schädel
29238,Spukgestalt der Geißel
29611,König Varian Wrynn
29726,Herr Fröstelich
29850,Lo'Gosh
30116,Erzmagier Aethas Sonnenhäscher
30379,Westfallhuhn
31530,Großapotheker Putress
31575,Riesige Kanalratte
31787,Wächter der Zitadelle
32326,Prinz Arthas Menethil
32335,Gepanzerter weißer Greif
32589,Madenhackerjunges
32590,Weißes Madenhackerjunges
32591,Kobrajunges
32592,Protodrachenwelpe
32595,Pengu
32643,Familiar der Kirin Tor
32695,Donavan Bale
32697,Dak'hal der Schwarze
32700,Halga Stahlhügel
32702,Drog Schädelbrecher
32704,Danric der Verwegene
32706,Saedelin Morgenweiß
32708,Narestel Blassstern
32709,Hunaka Grünhuf
32710,Garl Grimmsilber
32711,Warpjägerin Kula
32712,Der unglaubliche Zanzo
32713,Juwanamana
32714,Mondpriesterin Nici
32715,Sorge
32716,Linzi Rotgrins
32717,Sabber
32718,Disidra Sturmpracht
32719,Großhexer Ohodo
32720,Violetta
32721,Teufelswirker Virim
32791,Frühlingshase
32818,Fetter Truthahn
32841,Blizzardbärenbaby
32906,Freya
32939,Kleines Rehkitz
33072,Onu
33188,Schössling von Teldrassil
33194,Welpe aus Dun Morogh
33197,Fledermäuschen aus Tirisfal
33198,Skorpion aus Durotar
33199,Alarmierender Aufziehroboter
33200,Lamm aus Elwynn
33205,Peitschling aus dem Am'mental
33219,Küken aus Mulgore
33226,Strandkriecher
33227,Verzauberter Besen
33238,Argentumknappe
33239,Argentumgrunzling
33274,Robopieps
33299,Raptor der Dunkelspeere
33529,Neugieriger Wolvarwelpe
33530,Neugieriges Gorlocjunges
33532,Wolvarwaisenkind
33533,Orakelwaisenkind
33578,Murkimus der Gladiator
33810,Fetisch aus Sen'jin
33836,Bombenbot
33975,Nobelgartenhase
34031,XS-001 Konstruktionsbot
34278,Welkchen
34320,Gifthautjunges
34364,Dreifarbige Katze
34527,Dave's Industrial Light and Magic Bunny (Small)
34587,Kriegsbot
34694,Gurgli
34724,Schimmernder Wyrmling
34770,Makabre Marionette
34930,Jadetiger
35384,Jüngerin von Elune
35387,Springendes Jungtier
35394,Razzashijungtier
35395,Deviatjungtier
35396,Pfeilschnelles Jungtier
35397,Ravasaurusjungtier
35398,Scharfzähniges Jungtier
35399,Obsidianjungtier
35400,Jungtier aus Gundrak
35468,Onyxpanther
35867,Kalec
36074,[DND] Swift Horde Wolf
36482,Tuskarrdrachen
36511,Spektraltigerjunges
36607,Welpling von Onyxia
36774,Agent des Silberbunds
36871,Kernhundwelpe
36908,Greifenküken
36909,Windreiterjunges
36910,Zipaotiger
36911,Pandarenmönch
36979,K.T. der Kleine
37011,Die Verdammten
37865,Mopsiger Streuner
38374,Giftmüllschleimling
38494,Verrottender Frostriese
38839,Wache der Dunkeleisenzwerge
38976,Worgen Dust Bunny
39046,Scharlachrotes Todesstreitross
39605,Garrosh Höllschrei
39622,Geist von Lo'Gosh
39627,Geist von Goldrinn
40198,Eiskalter Frostling
40222,Spähfledermaus
40295,Blauer Aufziehraketenbot
40585,Spore
40624,Himmelsdrache
40703,XT der Kleine
40721,Murkimus der Gladiator
40955,Goldrinn
41200,Generic Bunny - PRK
42078,Mini-Thor
42129,Moira Thaurissan
42131,Falstad Wildhammer
42177,Blauer Minitjostbussard
42183,Goldener Minitjostbussard
42409,Abyssisches Tentakel
42783,Wache von Eisenschmiede
42928,Muradin Bronzebart
43717,Crewmitglied der Trümmerflut
43800,Persönlicher Weltenzerstörer
43916,Entwaffneter mechanischer Begleiter
43981,Jaderückenbasilisk
44413,Tiefenpirscher Azjentus
44939,Steindrache der Kristallschwingen
45128,Eiskaltes Händchen
45247,Kieselchen
45250,Handelsprinz Gallywix
45253,Genn Graumähne
45340,Fossiles Jungtier
45396,Dave's Industrial Light and Magic Bunny (Medium)(Sessile)(Large AOI)
45453,Pesthund
45667,Hochtüftler Mekkadrill
45774,Prophet Velen
46089,Rok'tar
46113,SI:7-Agent
46384,Wahnsinniger Gnom
46471,Todesschwinge
46568,Wahnsinniger Spinnenbotpilot
46755,Goblinisches Turbotrike
46896,Todesschwingchen
46898,Verzauberte Laterne
47169,Hartgekochtes Ei
47688,Offizierin Connelly
47944,Dunkles Phönixküken
48107,Rostbergmöwe
48242,Gürteltierjunges
48376,Rumpelnder Steinling
48377,Wirbelnder Sturmling
48378,Strudelnder Wogling
48609,Aufziehgnom
48641,Fuchswelpe
48982,Winzige Schieferspinne
49373,Krazzworks Zeppelin
49450,Goldrinn
49586,Gildenpage
49587,Gildenherold
49588,Gildenpage
49590,Gildenherold
50384,Landros XT der Kleine
50468,Landros XT der Kleine
50545,Wunderlampe
50586,Maderich
50612,Wildhammergreif
50722,Elementiumgeode
51090,Singende Sonnenblume
51122,Todesflosse
51346,Windreiter von Orgrimmar
51468,Wache der Wildhämmer
51600,Mini-Ragnaros
51601,Mondkinküken
51632,Winzige Flammenfliege
51634,Blubb
51635,Finchen die Schnecke
51636,Lizzy
51649,Mondkinküken
51657,Buschhuhn
51677,Winterquelljunges
51796,Stadtwache von Silbermond
52226,Pantherjunges
52343,Landros Lichling
52344,Nachtsäblerjunges
52367,Papierdrachen
52697,Gieriger Kobold
52831,Winterquelljunges
52894,Schmetterschwanzjunges
53048,Beinchen
53225,Pterrordaxjunges
53232,Voodoostatuette
53283,Wächterjunges
53453,Grüner Ballon
53454,Gelber Ballon
53455,Hordenballon
53456,Allianzballon
53623,Cenariusjungtier
53658,Hyjalbärenjunges
53661,Purpurpeitscher
53828,Darren's Test NPC
53854,Sturmkrähe
53884,Katzenfamiliar
54027,Klein Tarecgosa
54128,Unheimliche Kiste
54223,Fässchenpony
54227,Nüsschen
54359,Companion Combat Vehicle
54374,Prächtiger Kaliri
54375,Player 1's Pet
54376,Player 2's Pet
54383,Purpurkugelfisch
54438,Murkablo
54487,Dunkelmond-Schildkröte
54491,Dunkelmond-Affe
54539,Allianzballon
54541,Hordenballon
54617,Rell Nachtwind
54730,Grausiger Grell
54745,Sandskarabäus
54747,Auge der Legion
54869,Jäger der Schlingschwänze
54961,Lehrensucher Cho
55187,Dunkelmond-Ballon
55215,Klumpi
55242,Darren's Test NPC 2
55276,Stationäres Katapult
55279,Shan'ze-Geisterbinder
55356,Dunkelmond-Panzer
55367,Dunkelmond-Zeppelin
55386,Seepony
55395,Soridormi
55500,Illidan Sturmgrimm
55561,König Varian Wrynn
55571,Mondlaterne
55574,Festliche Lampe
55659,Wildwichtel
55768,Lehrensucher Cho
56024,Generic Bunny 5.0
56031,Dunkelmond-Junges
56045,Schmetterling
56082,Grüner Ballon
56083,Gelber Ballon
56142,Zeitwächter
56169,Generic Bunny 10.0
56266,Fetischschamane
56487,Lina Weißpfote
56584,Todesschwinge
56719,Sha der Gewalt
56723,Schwadronskommandant der Ik'thik
56727,Flutkämpfer der Perlflossen
56728,Wellenwächter der Perlflossen
56779,Yu'lon
56784,Fei
57107,Bronzedrache
57769,Shen-zin Su
58163,Seele der Aspekte
58959,Teufelswichtel
58960,Leerenfürst
58963,Shivarra
58964,Beobachter
58965,Zornwächter
58997,Abyssal
59000,Terrorwache
59020,Auge der Legion
59113,Generic Bunny
59114,Generic Bunny
59115,Generic Bunny
59215,Anduin Wrynn
59222,Ren Weißpfote
59262,Dämonisches Tor
59271,Dämonisches Tor
59358,Dunkelmond-Kaninchen
59651,Sha der Verzweiflung
59653,Chi-Ji
59702,Präriemaus
59709,Darren's Test BattlePet 1
59710,Darren's Test BattlePet 2
59795,Darren's Test BattlePet 3
60033,Rasender Geist
60114,Generic Bunny 4.0
60143,Gara'jal der Geisterbinder
60149,General Nazgrim
60152,Test Panda
60157,Cosmetic Fire large
60205,Hopfling
60291,Fire Bunny
60367,Zappelnder Karpfen
60406,Cosmetic Smoke From Fire
60418,Darren's Test BattlePet 4
60424,Darren's Test BattlePet 5
60430,Darren's Test BattlePet 6
60491,Sha des Zorns
60522,Kleines Pandarenzelt
60525,Großes Pandarenzelt
60526,Kleines Hordezelt
60527,Großes Hordezelt
60547,Natasha
60548,Vladimir
60570,Ji Feuerpfote
60574,Hordebanner
60592,Schattenmeisterin Kiryn
60649,Schwarzes Lamm
60820,Kleines Allianzzelt
60821,Großes Allianzzelt
