ID,Description_lang
2,Die größte Menge jemals besessenen Goldes
3,Höchster je besessener Goldbetrag:
5,Reittiere besessen
6,Anzahl der Reittiere
8,"Benutzt gewichtige Kürbislaternen, um Kürbisköpfe auf jedes der unten aufgelisteten Völker zu setzen."
9,Zwerg
10,Gnom
11,Blutelf
12,Draenei
13,Mensch
14,Nachtelf
15,Orc
16,Tauren
17,Troll
18,Untoter
19,Worgen
20,Goblin
22,Duelle verloren
23,Duelle verloren
25,Tode durch 25-Spieler-Schlachtzugsbosse insgesamt in Nordend
26,XT-002 Dekonstruktor
27,Freya
28,Mimiron
29,General Vezax
30,Yogg-Saron
31,Algalon der Beobachter
32,Emalon der Sturmwächter
33,Flammenleviathan
34,Klingenschuppe
35,"Ignis, Meister des Eisenwerks"
36,Auriaya
37,Hodir
38,Stahlbrecher
39,Sturmrufer Brundir
40,Kologarn
41,Thaddius
42,Than Korth'azz
43,Flickwerk
44,Saphiron
45,Kel'Thuzad
46,Lady Blaumeux
47,Baron Totenschwur
48,Noth der Seuchenfürst
49,Heigan der Unreine
50,Archavon der Steinwächter
51,Anub'Rekhan
52,Gluth
53,Gothik der Ernter
54,Großwitwe Faerlina
55,Grobbulus
56,Instrukteur Razuvious
57,Loatheb
58,Maexxna
59,Sartharion
60,Anub'arak
61,Lady Todeswisper
62,Toravon der Eiswächter
63,Modermiene
64,Eisheuler
65,Sir Zeliek
66,Malygos
67,Lord Jaraxxus
68,Fjola Lichtbann
69,Lord Mark'gar
70,Todesbringer Saurfang
71,Blutkönigin Lana'thel
72,Sindragosa
73,Der Lichkönig
74,Fauldarm
75,Professor Seuchenmord
76,Eydis Nachtbann
77,Runenmeister Molgeim
78,Thorim
80,"Den Titel ""Großmarschall"" erhalten."
81,Großmarschall
83,"Den Titel ""Feldkommandant(in)"" erhalten."
84,Feldkommandant
86,"Den Titel ""Leutnant"" erhalten."
87,Leutnant
89,Das Gewölbe der Mysterien (Zweite Hälfte des Mogu'shangewölbes)
90,Vier Könige
91,Elegon
92,Der Wille des Kaisers
97,Zündet in höchstens 30 Sekunden 10 Festtagsknallfrösche.
98,Zündet in höchstens 30 Sekunden 10 Festtagsknallfrösche
103,Ehrt die Flammen Kalimdors.
104,Eschental
105,Blutmythosinsel
106,Desolace
107,Feralas
108,Teldrassil
109,Tanaris
110,Düstermarschen
111,Azurmythosinsel
112,Silithus
113,Winterquell
114,Dunkelküste
115,Südliches Brachland
117,"Gewinnt 10 Schlachten im Arathibecken, während Ihr 5 Flaggen kontrolliert."
118,"Gewinnt 10 Schlachten im Arathibecken, während Ihr 5 Flaggen kontrolliert."
120,Bezwingt Cyanigosa in der Violetten Festung auf dem Schwierigkeitsgrad 'Heroisch'.
121,Cyanigosa
123,Erhaltet ein großes Eismammut.
124,Großes Eismammut
125,Großes Eismammut
126,Großes Eismammut
127,Großes Eismammut
129,Gewinnt im Arathibecken mit einem Vorsprung von 50 Punkten oder weniger.
130,Gewinnt eine Schlacht im Arathibecken mit 50 Punkten Vorsprung oder weniger.
132,Stolzer Besitzer des gelben Braufestkrugs (2007).
133,Den gelben Braufestkrug gefüllt
134,Den gelben Braufestkrug gefüllt
135,Den gelben Braufestkrug gefüllt
136,Den gelben Braufestkrug gefüllt
137,Gelber Braufestkrug
138,Den gelben Braufestkrug gefüllt
140,Tode in der Kriegshymnenschlucht
141,Tode in der Kriegshymnenschlucht
143,Tode durch Drek'Thar
144,Von Drek'Thar getötet
146,Entzauberte Gegenstände
147,Entzauberungsgegenstände
149,Erlangt 225 Fertigkeitspunkte in Erster Hilfe.
150,Erlangt 225 Fertigkeitspunkte in Erster Hilfe.
152,Bezwingt Kil'jaeden auf dem Sonnenbrunnenplateau.
153,Kil'jaeden
154,Krone von Dath'Remar
