ID,Name_lang
63,Minas de la Muerte
64,Castillo de Colmillo Oscuro
65,Trono de las Mareas
66,Cavernas Roca Negra
67,El Núcleo Pétreo
68,La Cumbre del Vórtice
69,Ciudad Perdida de los Tol'vir
70,Cámaras de los Orígenes
71,Grim Batol
72,El Bastión del Crepúsculo
73,Descenso de Alanegra
74,Trono de los Cuatro Vientos
75,Bastión de Baradin
76,Zul'Gurub
77,Zul'Aman
78,Tierras de Fuego
184,Fin de los Días
185,Pozo de la Eternidad
186,Hora del Crepúsculo
187,Alma de Dragón
226,Sima Ígnea
227,Cavernas de Brazanegra
228,Profundidades de Roca Negra
229,Cumbre de Roca Negra Inferior
230,La Masacre
231,Gnomeregan
232,Maraudon
233,Zahúrda Rajacieno
234,Horado Rajacieno
235,Monasterio Escarlata - OLD
236,Stratholme
237,El Templo de Atal'Hakkar
238,Las Mazmorras
239,Uldaman
240,Cuevas de los Lamentos
241,Zul'Farrak
246,Scholomance
247,Criptas Auchenai
248,Murallas del Fuego Infernal
249,Bancal del Magister
250,Tumbas de Maná
251,Antiguas Laderas de Trabalomas
252,Salas Sethekk
253,Laberinto de las Sombras
254,El Arcatraz
255,La Ciénaga Negra
256,El Horno de Sangre
257,El Invernáculo
258,El Mechanar
259,Las Salas Arrasadas
260,Recinto de los Esclavos
261,La Cámara de Vapor
262,La Sotiénaga
271,Ahn'kahet: El Antiguo Reino
272,Azjol-Nerub
273,Fortaleza de Drak'Tharon
274,Gundrak
275,Cámaras de Relámpagos
276,Cámaras de Reflexión
277,Cámaras de Piedra
278,Foso de Saron
279,La Matanza de Stratholme
280,La Forja de Almas
281,El Nexo
282,El Oculus
283,El Bastión Violeta
284,Prueba del Campeón
285,Fortaleza de Utgarde
286,Pináculo de Utgarde
302,Cervecería del Trueno
303,Puerta del Sol Poniente
311,Cámaras Escarlata
312,Monasterio del Shadopan
313,Templo del Dragón de Jade
316,Monasterio Escarlata
317,Cámaras Mogu'shan
320,Veranda de la Primavera Eterna
321,Palacio Mogu'shan
322,Pandaria
324,Asedio del Templo de Niuzao
330,Corazón del Miedo
362,Solio del Trueno
369,Asedio de Orgrimmar
385,Minas Machacasangre
457,Fundición Roca Negra
476,Trecho Celestial
477,Ogrópolis
536,Terminal Malavía
537,Cementerio de Sombraluna
547,Auchindoun
556,El Vergel Eterno
557,Draenor
558,Puerto de Hierro
559,Cumbre de Roca Negra Superior
669,Ciudadela del Fuego Infernal
707,Cámara de las Celadoras
716,Ojo de Azshara
721,Cámaras del Valor
726,La Arquería
727,Fauce de Almas
740,Torreón Grajo Negro
741,Núcleo de magma
742,Guarida de Alanegra
743,Ruinas de Ahn'Qiraj
744,Templo de Ahn'Qiraj
745,Karazhan
746,Guarida de Gruul
747,Guarida de Magtheridon
748,Caverna Santuario Serpiente
749,El Ojo
750,La Batalla del Monte Hyjal
751,Templo Oscuro
752,Meseta de La Fuente del Sol
753,La Cámara de Archavon
754,Naxxramas
755,El Sagrario Obsidiana
756,El Ojo de la Eternidad
757,Prueba del Cruzado
758,Ciudadela de la Corona de Hielo
759,Ulduar
760,Guarida de Onyxia
761,El Sagrario Rubí
762,Arboleda Corazón Oscuro
767,Guarida de Neltharion
768,Pesadilla Esmeralda
777,Asalto al Bastión Violeta
786,Bastión Nocturno
800,Corte de las Estrellas
822,Islas Abruptas
860,Regreso a Karazhan
861,Prueba del Valor
875,Tumba de Sargeras
900,Catedral de la Noche Eterna
945,Trono del Triunvirato
946,"Antorus, el Trono Ardiente"
959,Puntos de invasión
968,Atal'Dazar
1001,Fuerte Libre
1002,Tol Dagor
1012,VETA MADRE
1021,Mansión Crestavía
1022,Catacumbas Putrefactas
1023,Asedio de Boralus
1028,Azeroth
1030,Templo de Sethraliss
1031,Uldir
1036,Altar de la Tormenta
1041,Reposo de los Reyes
1176,Batalla de Dazar'alor
1177,Crisol de Tormentas
1178,Operación: Mecandria
1179,Palacio Eterno
1180,"Ny'alotha, Ciudad del Despertar"
1182,Estela Necrótica
1183,Bajapeste
1184,Nieblas de Tirna Scithe
1185,Salas de la Expiación
1186,Agujas de Ascensión
1187,Teatro del Dolor
1188,El Otro Lado
1189,Cavernas Sanguinas
1190,Castillo de Nathria
1192,Tierras Sombrías
1193,Sagrario de Dominación
1194,"Tazavesh, el Mercado Velado"
