ID,Description_lang
2,Ahora con más descripciones
20,Temporada 10
226,Temporada 10 élite
525,Temporada 9 élite
653,Temporada 9
1013,Temporada 11
1208,Temporada 11 élite
1591,Temporada 19
1593,Este color me hace daño a los ojos
1641,Buscador de bandas
2015,Heroico
2023,Temporada 10 élite
2255,Temporada 12
2667,Temporada 12 élite
3564,
3759,Material de artesano
3765,Bolsa de 100 ranuras
3845,Heroico de élite
3859,Élite
3933,Temporada 13
3934,Temporada 13 élite
4918,Rango 1
4949,Rango 2
4953,Rango 3
4957,Rango 4
4961,Rango 5
4965,Rango 7
4969,Rango 8
4970,Rango 6
5213,Objeto de gesta
5616,Forjas del Trueno
6360,Heroico Forjas del Trueno
6798,Rango 9
6842,Rango ??
6843,Temporada 8
6894,Temporada 8 élite
7052,Temporada 7
7225,Temporada 7 élite
7261,Temporada 6
7434,Temporada 6 élite
7463,Temporada 5
7636,Temporada 4
7775,Temporada 3
7906,Temporada 2
8027,Temporada 1
8869,Flexible
9059,Temporada 14
9459,Temporada 14 élite
10066,Heroico Forjas del Trueno
10126,Temporada 15
10520,Temporada 15 élite
11080,Intemporal
11179,Heroico Forjas de la guerra
11428,Forjas de la guerra
12743,Trofeo
12790,Prístino
12934,Material de alquimia
13021,Material de artesano
13111,de Poder
13145,Mítico
13149,Material de ingeniería
13150,del Destello
13151,de los Incomparables
13152,de la Hoja Rauda
13153,del Salvaje
13154,del Fanático
13155,del Astuto
13156,de la Llama Febril
13157,de la Aurora
13158,del Diestro
13159,del Zelote
13160,del Creador de Vientos
13161,del Armónico
13162,del Despiadado
13163,del Adivino
13164,del Noble
13165,del Estratega
13166,del Augur
13167,del Fiel
13168,del Heraldo
13169,de Rompetormentas
13170,del Impaciente
13171,del Sabio
13172,de los Adaptable
13173,del Incansable
13174,del Piadoso
13175,del Indomable
13176,del Exterminador
13178,Torneo de Warlords
13181,Ingrediente de cocina
13184,Componente de creación
13185,Fase 2 de 6
13186,Fase 3 de 6
13187,Fase 1 de 6
13188,Mítico Forjas de la guerra
13190,Equipo del seguidor
13191,Recurso de la fortaleza
13192,Parte de puesto de venta
13193,Normal
13194,Módulo de puesto de venta
13195,Prístino
13196,Warlords Temporada 1
13197,Amuleto racial JcJ
13198,Warlords Temporada 1 élite
13201,Nivel 0
13202,Nivel 1 - Sagrado
13203,Nivel 1 - Fuego
13204,Nivel 1 - Corrupto
13205,Nivel 2 - Sagrado
13206,Nivel 2 - Fuego
13207,Nivel 2 - Corrupto
13208,Fase 4 de 6
13209,Plano de la fortaleza
13210,Caminante del tiempo
13211,Warlords Temporada 2
13212,Warlords Temporada 2 élite
13213,Warlords Temporada 3
13214,Warlords Temporada 3 élite
13215,Carterista
13216,Cronodistorsionado
13217,Fase 5 de 6
13218,Fase 6 de 6
13219,Poder de artefacto
13220,Forjas de la guerra cronodistorsionadas
13222,Potenciado
13223,Maná ancestral
13224,Equipamiento naval
13225,Objeto Torvo
13226,"Legion, temporada 1"
13227,"Legion, temporada de élite 1"
13228,Equipo de campeón
13230,Fase 1 de 9
13231,Fase 2 de 9
13232,Fase 3 de 9
13233,Fase 4 de 9
13234,Fase 5 de 9
13235,Fase 6 de 9
13236,Fase 7 de 9
13237,Fase 8 de 9
13238,Fase 9 de 9
13239,Forjado por los titanes
13241,Furia de Odyn
13242,Cólera de Helya
13243,Segadora de Escarcha
13244,Emisaria Gélida
13245,Verus
13246,Muramas
13247,Al'burq
13248,Alra'ed
13249,Angustia
13250,Pena
13251,Destino
13252,Fortuna
13253,Mandisangre
13254,Voluntad de Akaari
13256,Obliterium: 0/10
13257,Obliterium: 1/10
13258,Obliterium: 2/10
13259,Obliterium: 3/10
13260,Obliterium: 4/10
13261,Obliterium: 5/10
13262,Obliterium: 6/10
13263,Obliterium: 7/10
13264,Se puede hacer trizas
13265,Mítico 2
13266,Mítico 3
13267,Mítico 4
13268,Mítico 5
13269,Mítico 6
13270,Mítico 7
13271,Mítico 8
13272,Mítico 9
13273,Mítico 10
13274,Mítico 2 ganador
13275,Mítico 3 ganador
13276,Mítico 4 ganador
13277,Mítico 5 ganador
13278,Mítico 6 ganador
13279,Mítico 7 ganador
13280,Mítico 8 ganador
13281,Mítico 9 ganador
13282,Obliterium: 8/10
13284,Veterano
13285,Obliterium: 9/10
13286,Obliterium: 10/10
13287,"Legion, temporada 2"
13288,"Legion, temporada de élite 2"
13289,Mítico 11
13290,Mítico 12
13291,25 jugadores (normal)
13292,25 jugadores (heroico)
13293,10 jugadores (normal)
13294,Rango 8
13295,Legion Temporada 3
13296,Legion Temporada 3 Élite
13297,Legion Temporada 4
13298,Legion Temporada 4 Élite
13299,Legion Temporada 5
13300,Legion Temporada 5 Élite
13301,Gladiador
13302,Combatiente I
13303,Aspirante
13304,Honor
13305,La Fuente del Sol
13306,JcJ Poco común
13307,JcJ Épico
13308,Mítico 13
13309,Mítico 14
13310,Mítico 15
13311,"Legion, temporada 6"
13312,"Legion, temporada 7"
13313,Legion Temporada 6 Élite
13314,Legion Temporada 7 Élite
13315,Legion Temporada 1 y 2
13316,Legion Temporada 1 y 2 de élite
13317,Legion Temporada 3 y 4
13318,Legion Temporada 3 y 4 de élite
13319,Objeto creado
13320,Del sacrificio
13321,Intrépido
13322,Obliterium primigenio: 0/10
13323,Obliterium primigenio: 1/10
13324,Obliterium primigenio: 2/10
13325,Obliterium primigenio: 3/10
13326,Obliterium primigenio: 4/10
13327,Obliterium primigenio: 5/10
13328,Obliterium primigenio: 6/10
13329,Obliterium primigenio: 7/10
13330,Obliterium primigenio: 8/10
13331,Obliterium primigenio: 9/10
13332,Obliterium primigenio: 10/10
13333,Shatug
13334,F'harg
13335,"Legion Temporada 5, 6 y 7"
13336,"Legion Temporada 5, 6 y 7 Élite"
13337,Confiscado
13338,Inmaculado
13339,Inmaculado
13343,Azerita nivel 3
13445,Contendiente I
13446,Rival I
13447,Duelista
13448,Frente de batalla
13449,Poder de artefacto
13450,Recuerdo
13451,Combatiente siniestro
13452,Combatiente atroz
13453,Contendiente siniestro
13454,Contendiente atroz
13455,Rival siniestro
13456,Rival atroz
13457,Duelista siniestro
13458,Duelista atroz
13459,Gladiador siniestro
13460,Gladiador atroz
13461,Temporada 1 de Battle for Azeroth
13462,Temporada 2 de Battle for Azeroth
13463,Élite atroz
13464,Élite siniestro
13465,Chatarrería de Mecalópolis
13486,Don insidioso sellado
13487,Don insidioso abierto
13488,Temporada 4 del Desafío de estilos
13489,Temporada 2 del Desafío de estilos
13490,Temporada 1 del Desafío de estilos
13491,Calibración: 0.75 de celeridad: 0.25 de versatilidad
13492,Temporada 3 del Desafío de estilos
13493,Contendiente infame
13494,Combatiente infame
13495,Duelista infame
13496,Élite infame
13497,Gladiador infame
13498,Rival infame
13499,Equipo de montura
13500,Coalescencia de poder
13501,Tarjeta perforada roja
13502,Tarjeta perforada amarilla
13503,Tarjeta perforada azul
13504,Componente arcano
13505,Perlado
13506,Temporada 3 de Battle for Azeroth
13507,Bentónico
13508,Temporada 4 de Battle for Azeroth
13509,Reliquia del Imperio Negro de nivel 1
13510,Reliquia del Imperio Negro de nivel 2
13511,Reliquia del Imperio Negro de nivel 3
13512,Reliquia del Imperio Negro de nivel 4
13513,25 p. de corrupción
13516,5 p. de corrupción
13517,10 p. de corrupción
13518,15 p. de corrupción
13519,20 p. de corrupción
13520,30 p. de corrupción
13521,Entre 5 y 30 p de corrupción
13524,Rango 10
13525,Rango 11
13526,Rango 12
13527,Rango 13
13528,Rango 14
13529,Rango 15
13530,Contendiente corrupto
13531,Combatiente corrupto
13532,Duelista corrupto
13533,Élite corrupto
13534,Gladiador corrupto
13535,Rival corrupto
13536,Corrupto
13538,Cifrado de alma
13543,del artesano crítico
13544,del artesano maestro
13545,del artesano veloz
13546,del artesano versátil
13547,del matabestias
13549,Componente de fabricación opcional
13551,IV
13552,III
13553,II
13554,I
13555,Costura abominable
13556,Vivero de la Reina
13557,Potenciador de vaina catalizadora
13558,Vaina catalizadora
13559,Conducto
13565,66 p. de corrupción
13566,35 p. de corrupción
13567,15 p. de corrupción
13568,20 p. de corrupción
13569,10 p. de corrupción
13570,75 p. de corrupción
13571,50 p. de corrupción
13572,25 p. de corrupción
13573,45 p. de corrupción
13574,28 p. de corrupción
13575,17 p. de corrupción
13576,30 p. de corrupción
13577,12 p. de corrupción
13578,16 p. de corrupción
13579,8 p. de corrupción
13580,60 p. de corrupción
13581,Creación ascendida
13583,Historia de las Fauces
13584,Corte de Brasas
13585,Ánima
13586,The Coldest of Fronts (DNT)
13587,Show them snow mercy! (DNT)
13588,A Triple Threat (DNT)
13589,"It's like double trouble, but better! (DNT)"
13590,Campaña
13591,Reconocimiento
13592,Vivero de la Reina
13593,Prestigio
13594,Costura abominable
13595,Unidad
13596,Red de transporte
13597,Etéreo
13599,Contemplación mesurada
13600,Mellizos de la sacerdotisa del sol
13601,"X'anshi, regreso del Arzobispo Benedictus"
13602,Llamado eterno del Vacío
13603,Prisma de pirosombra
13604,Salmo doloroso
13605,Claridad mental
13606,Beso de la muerte
13607,Reflejo cristalino
13608,Aparato armonioso
13609,En penitencia
13610,Sombras cauterizantes
13611,Concentración relámpago
13612,Imagen divina
13613,Bóveda celestial
13614,Estratagema de Talbadar
13615,Juramento del druida anciano
13616,Atisbo fugaz de Lycara
13617,Círculo de la vida y la muerte
13618,Jarabe de concentración profunda
13619,Visión clara de Oneth
13620,Púlsar arcano primordial
13621,Equilibrio de todas las cosas
13622,Vinculasueños desgastado
13623,Curiosidad de ojo de gato
13624,Ansia del depredador alfa
13625,Sortija frenética
13626,Abrazo infundido con lufa
13627,Cebo de phantasma estable
13628,Voluntad del orden natural
13629,Tercer ojo del Carcelero
13630,Sagacidad de Norgannon
13631,Proclamación de Sephuz
13632,Sentencia de la Árbitra
13633,Sacrificio de vitalidad
13634,Furia de Ursoc recordada
13635,Repiqueteo de las Fauces
13636,Eco de Eonar
13637,Legado del durmiente
13638,Recuerdo del Árbol Madre
13639,La lección del titán oscuro
13640,Infusión glauca
13641,Visión de crecimiento eterno
13642,Ojo de simetría temible
13643,Toque fatal
13644,Sobrevestes de certeza rauda
13645,Delicia del invocador
13646,Trecho Celestial de Keefer
13647,Condensador del último emperador
13648,Tesoro de Xuen
13649,Ignición jade
13650,Infusión celestial
13651,Último barril de Cerveza de trueno
13652,Poder de Shaohao
13653,Pasiones calcinadas
13654,Despuntar del alba
13655,Susurro de Yu'lon
13656,Enseñanzas ancestrales del monasterio
13657,Enfoque nublado
13658,Escape de la realidad
13659,Aumenta la duración de Caparazón antimagia y cualquier daño que absorba te sanará.
13660,Sin rango
13661,Abrazo de la muerte
13662,Supercepa
13663,Espiral letal
13664,Certeza de la muerte
13665,Monstruosidad frenética
13666,Arrastrapiés reanimado
13667,Dominación de Sanguino
13668,Aura vampírica
13669,Runa carmesí
13670,Poder de Bryndaor
13671,Favor de Koltira
13672,Ira del campeón congelado
13673,Cero absoluto
13674,Frío cortante
13675,Yugo de la eternidad
13676,Pesadilla
13677,Doug Test aaa
13678,Bendición del Rey del Sol
13679,Rompecielos fundido
13680,Tormenta de fuego
13681,Diadema de encantador
13682,Carámbano macabro
13683,Protector de trinidad
13684,Orden disciplinaria
13685,Potencial expandido
13686,Vientos congelantes
13687,Embozo de Frente frío
13688,Emisaria Gélida
13689,Abrasión de escarcha
13690,Tormenta succionante
13691,Armonía arcana
13692,Distorsión cronológica
13693,Sacrificio arcánico
13694,El Dechado demente
13695,Guardia de Uther
13696,Sello de reyes atormentados
13697,Del crepúsculo y el amanecer
13698,Barrera de choque
13699,La sentencia del magistrado
13700,"Quiebrasombras, primera alborada"
13701,Inflorescencia de la Fuente del Sol
13702,Sigilo grabado del vengador sagrado
13703,El sagrario del protector ardiente
13704,Baluarte de furia recta
13705,Reinado de reyes eternos
13706,Veredicto final
13707,Impulso de la vanguardia
13708,Cadencia de Fujieda
13709,Inquisidor incansable
13710,Matador
13711,Voluntad del destructor
13712,Voluntad inquebrantable
13713,Represalia
13714,El muro
13715,Tempestad del iluminado
13716,Señor del trueno
13717,Aliento moribundo de Maraad
13718,Veredicto final
13719,Defensor temerario
13720,Volátil
13721,Espejo deforme
13722,Señor de la batalla
13723,Reverberación sísmica
13724,Sortija de Recordatorio ancestral
13725,Petrobotines de temblores profundos
13726,Yelmo de elementos profundos
13727,Cadenas de devastación
13728,Sortija de magma del rompecielos ardiente
13729,Escarpines de Equilibrio elemental
13730,Guanteletes del gran Cataclismo
13731,Capa del hablavientos
13732,Vientos de perdición
13733,Legado de la bruja de Escarcha
13734,Huesos de lobo de médico brujo
13735,Accionadores de lava primigenios
13736,Ajustador de Jonat de Concentración natural
13737,Musleras de las mareas de caminaespíritus
13738,Núcleo de marea primigenio
13739,Peto de Armonía terránea
13740,Estratagema infalible
13741,El verdugo
13742,Golpe persistente
13743,Sortija de llamada salvaje
13744,Botas de trampero de Nessingwary
13745,Máscara de Ascuas almaforjadas
13746,Jubón de anillas de Estratagema cobarde
13747,Camisote de Orden temible
13748,Escarpines de cobra de despiertallamas
13749,"Qa'pla, guanteletes de guerra Eredun"
13750,Botines de acecharylak
13751,Enfoque certero de Garra de Águila
13752,Dije de Disparos a mansalva
13753,Sortija de artimaña de acechaserpientes
13754,Manijas de la vigilia insomne
13755,Equipo de batalla táctico de fuego salvaje
13756,Embozo del acecharylak
13757,Inyectores de veneno latente
13758,Fragmentos de hueso de carnicero
13759,Invocación del Sigilo de los Grandes de Wilfred
13760,Fajín de Endereth
13761,Reliquia de sinergia demoníaca
13762,Togas ornamentadas del Portal Oscuro
13763,Anillo de Azj'Aqir de Agonía perpetua
13764,Zapatillas oscuras de Sacrolátigo
13765,Sobrevestes acolchadas de Cólera maléfica
13766,Capa de consunción colérica
13767,Visiones de Potencial implosivo
13768,Llamada aterradora de inquisidor siniestro
13769,Sortija de la pesadilla astada
13770,Sobrevestes ardientes de araña corpulenta
13771,Capa cinérea de Azj'Aqir
13772,Locura de Azj'Aqir
13773,Ascuas de vestiduras diabólicas
13774,Ataduras de los ymirjar
13775,Angustia colectiva
13776,Poderío de medio gigante
13777,Favor de Mirada oscura
13778,Vestiduras de La hora más oscura
13779,Demonios internos
13780,Dígitos del caos
13781,Núcleo vil errático
13782,Bombardero vil
13783,Medallón de la Llama de la Oscuridad
13784,Profanación de Razelikh
13785,Latigazo de llamas viles espiraladas
13786,Grillete de alma agostada
13787,Invernato
13789,Celeridad
13790,Marca del maestro asesino
13791,Faja con cuchillas tóxicas
13792,Caperuza con colmillos ensangrentados
13793,Guardapelo de polvo de sombra
13794,Ladronzuelo presto
13795,Guantes de Espada apocalíptica sangrientos
13796,Grilletes de entrenamiento de la familia Zoldyck.
13797,Parche del crepusculante
13798,Varas de mimbre verdes
13799,Astucia del bandido
13800,Trabuco oculto
13801,Finalización
13802,Fragmento de alma de Akaari
13803,La podredumbre
13804,Sombras mortales
13805,Cosmético
13806,Las runas están dispuestas en cascada sobre la superficie de esta armadura.
13808,
13809,Bufas de señor de la calamidad vencido
13810,Permaardor
13811,Mejora permanente: Torghast
13812,Mejora permanente: Las Fauces
13813,Senda de Ascensión
13815,Rango 1 de 7
13816,Rango 2 de 7
13817,Rango 3 de 7
13818,Rango 4 de 7
13819,Rango 5 de 7
13820,Rango 6 de 7
13821,Rango 7 de 7
13822,Nivel de mejora: 1/7
13823,Nivel de mejora: 2/7
13824,Nivel de mejora: 3/7
13825,Nivel de mejora: 4/7
13826,Nivel de mejora: 5/7
