ID,MapName_lang
0,Reinos del Este
1,Kalimdor
13,Mapa del equipo de arte
25,Scott Test
30,Valle de Alterac
33,Castillo de Colmillo Oscuro
34,Mazmorras de Ventormenta
35,<unused>VentormentaPrison
36,Minas de la Muerte
37,Cráter de Azshara
42,Collin's Test
43,Cuevas de los Lamentos
44,<unused> Monastery
47,Horado Rajacieno
48,Cavernas de Brazanegra
70,Uldaman
90,Gnomeregan
109,Templo Sumergido
129,Zahúrda Rajacieno
169,Sueño Esmeralda
189,Scarlet Monastery of Old
209,Zul'Farrak
229,Cumbre de Roca Negra inferior
230,Profundidades de Roca Negra
249,Guarida de Onyxia
269,Apertura de El Portal Oscuro
289,Scholomance OLD
309,Antiguo Zul'Gurub
329,Stratholme
349,Maraudon
369,Tranvía Subterráneo
389,Sima Ígnea
409,Núcleo de Magma
429,La Masacre
449,Cuartel JcJ de la Alianza
450,Cuartel JcJ de la Horda
451,Tierra de Desarrollo
469,Guarida de Alanegra
489,Garganta Grito de Guerra clásico
509,Ruinas de Ahn'Qiraj
529,Cuenca de Arathi clásico
530,Terrallende
531,Templo de Ahn'Qiraj
532,Karazhan
533,Naxxramas
534,La Batalla del Monte Hyjal
540,Ciudadela del Fuego Infernal: Salas Arrasadas
542,Ciudadela del Fuego Infernal: Horno de Sangre
543,Ciudadela del Fuego Infernal: Murallas
544,Guarida de Magtheridon
545,Colmillo Torcido: Cámara de Vapor
546,Colmillo Torcido: La Sotiénaga
547,Colmillo Torcido: Recinto de los Esclavos
548,Reserva Colmillo Torcido: Caverna Santuario Serpiente
550,El Castillo de la Tempestad
552,El Castillo de la Tempestad: El Arcatraz
553,El Castillo de la Tempestad: El Invernáculo
554,El Castillo de la Tempestad: El Mechanar
555,Auchindoun: Laberinto de las Sombras
556,Auchindoun: Salas Sethekk
557,Auchindoun: Tumbas de Maná
558,Auchindoun: Criptas Auchenai
559,Arena de Nagrand (viejo)
560,La Fuga de Durnholde
562,zzOldArena Filospada
564,Templo Oscuro
565,Guarida de Gruul
566,Ojo de la Tormenta
568,Zul'Aman
571,Rasganorte
572,Ruinas de Lordaeron
573,ExteriorTest
574,Fortaleza de Utgarde
575,Pináculo de Utgarde
576,El Nexo
578,El Oculus
580,La Fuente del Sol
582,Transporte: Rut'theran a Auberdine
584,Transporte: Menethil a Theramore
585,Bancal del Magister
586,Transporte: El Exodar a Auberdine
587,Transporte: Transbordador de Plumaluna
588,Transporte: Menethil a Auberdine
589,Transporte: Orgrimmar a Grom'gol
590,Transporte: Grom'gol a Entrañas
591,Transporte: Entrañas a Orgrimmar
592,Transporte: Tundra Boreal prueba
593,Transporte: Bahía del Botín a Trinquete
594,Transporte: Fiordo Aquilonal Hermana Misericordia (misión)
595,La Matanza de Stratholme
596,Transporte: Naglfar
597,Craig Test
598,Sunwell Fix (Unused)
599,Cámaras de Piedra
600,Fortaleza de Drak'Tharon
601,Azjol-Nerub
602,Cámaras de Relámpagos
603,Ulduar
604,Gundrak
605,Development Land (non-weighted textures)
606,QA and DVD
607,Playa de los Ancestros
608,Bastión Violeta
609,El Bastión de Ébano
610,Transporte: Tirisfal al Campo Venganza
612,Transporte: Menethil a Valgarde
613,Transporte: Orgrimmar al Bastión Grito de Guerra
614,Transporte: Ventormenta a la Fortaleza Denuedo
615,El Sagrario Obsidiana
616,El Ojo de la Eternidad
617,Cloacas de Dalaran
618,El Círculo del Valor
