ID,Name_lang
2,
3,
4,
5,
6,
13,Maglia Inanellata del Combattente Indomito
14,Maglia Inanellata del Combattente Indomito
15,Maglia Rinforzata del Combattente Indomito
16,Maglia Rinforzata del Combattente Indomito
17,Piastre Oscure del Combattente Indomito
18,Piastre Oscure del Combattente Indomito
19,Scaglie del Combattente Indomito
20,Scaglie del Combattente Indomito
21,Piastre del Combattente Indomito
22,Piastre del Combattente Indomito
23,Cuoio del Combattente Indomito
24,Cuoio del Combattente Indomito
25,Pelle di Drago del Combattente Indomito
26,Pelle di Drago del Combattente Indomito
27,Cuoioferro del Combattente Indomito
28,Cuoioferro del Combattente Indomito
29,Seta del Combattente Indomito
30,Seta del Combattente Indomito
31,Raso del Combattente Indomito
32,Raso del Combattente Indomito
33,Viltela del Combattente Indomito
34,Viltela del Combattente Indomito
35,Armatura Inanellata del Combattente Guerrafondaio
36,Armatura Inanellata del Combattente Guerrafondaio
37,Maglia Rinforzata del Combattente Guerrafondaio
38,Maglia Rinforzata del Combattente Guerrafondaio
39,Pelle di Drago del Combattente Guerrafondaio
40,Pelle di Drago del Combattente Guerrafondaio
41,Cuoio del Combattente Guerrafondaio
42,Cuoio del Combattente Guerrafondaio
43,Cuoioferro del Combattente Guerrafondaio
44,Cuoioferro del Combattente Guerrafondaio
45,Piastre Oscure del Combattente Guerrafondaio
46,Piastre Oscure del Combattente Guerrafondaio
47,Scaglie del Combattente Guerrafondaio
48,Scaglie del Combattente Guerrafondaio
49,Piastre del Combattente Guerrafondaio
50,Piastre del Combattente Guerrafondaio
51,Raso del Combattente Guerrafondaio
52,Raso del Combattente Guerrafondaio
53,Seta del Combattente Guerrafondaio
54,Seta del Combattente Guerrafondaio
55,Viltela del Combattente Guerrafondaio
56,Viltela del Combattente Guerrafondaio
57,Maglia Inanellata del Combattente Primordiale
58,Maglia Inanellata del Combattente Primordiale
59,Maglia Rinforzata del Combattente Primordiale
60,Maglia Rinforzata del Combattente Primordiale
61,Pelle di Drago del Combattente Primordiale
62,Pelle di Drago del Combattente Primordiale
63,Cuoio del Combattente Primordiale
64,Cuoio del Combattente Primordiale
65,Cuoioferro del Combattente Primordiale
66,Cuoioferro del Combattente Primordiale
67,Piastre Oscure del Combattente Primordiale
68,Piastre Oscure del Combattente Primordiale
69,Scaglie del Combattente Primordiale
70,Scaglie del Combattente Primordiale
71,Piastre del Combattente Primordiale
72,Piastre del Combattente Primordiale
73,Viltela del Combattente Primordiale
74,Viltela del Combattente Primordiale
75,Raso del Combattente Primordiale
76,Raso del Combattente Primordiale
77,Seta del Combattente Primordiale
78,Seta del Combattente Primordiale
79,Maglia Inanellata del Gladiatore Indomito
80,Maglia Inanellata del Gladiatore Indomito
81,Maglia Rinforzata del Gladiatore Indomito
82,Maglia Rinforzata del Gladiatore Indomito
83,Pelle di Drago del Gladiatore Indomito
84,Pelle di Drago del Gladiatore Indomito
85,Cuoio del Gladiatore Indomito
86,Cuoio del Gladiatore Indomito
87,Cuoioferro del Gladiatore Indomito
88,Cuoioferro del Gladiatore Indomito
89,Piastre Oscure del Gladiatore Indomito
90,Piastre Oscure del Gladiatore Indomito
91,Piastre del Gladiatore Indomito
92,Piastre del Gladiatore Indomito
93,Scaglie del Gladiatore Indomito
94,Scaglie del Gladiatore Indomito
95,Viltela del Gladiatore Indomito
96,Viltela del Gladiatore Indomito
97,Raso del Gladiatore Indomito
98,Raso del Gladiatore Indomito
99,Seta del Gladiatore Indomito
100,Seta del Gladiatore Indomito
101,Maglia Inanellata del Gladiatore Guerrafondaio
102,Maglia Inanellata del Gladiatore Guerrafondaio
103,Maglia Rinforzata del Gladiatore Guerrafondaio
104,Maglia Rinforzata del Gladiatore Guerrafondaio
105,Pelle di Drago del Gladiatore Guerrafondaio
106,Pelle di Drago del Gladiatore Guerrafondaio
107,Piastre Oscure del Gladiatore Guerrafondaio
108,Piastre Oscure del Gladiatore Guerrafondaio
109,Viltela del Gladiatore Guerrafondaio
110,Viltela del Gladiatore Guerrafondaio
111,Cuoioferro del Gladiatore Guerrafondaio
112,Cuoioferro del Gladiatore Guerrafondaio
113,Cuoio del Gladiatore Guerrafondaio
114,Cuoio del Gladiatore Guerrafondaio
115,Piastre del Gladiatore Guerrafondaio
116,Piastre del Gladiatore Guerrafondaio
117,Raso del Gladiatore Guerrafondaio
118,Raso del Gladiatore Guerrafondaio
119,Scaglie del Gladiatore Guerrafondaio
120,Scaglie del Gladiatore Guerrafondaio
121,Seta del Gladiatore Guerrafondaio
122,Seta del Gladiatore Guerrafondaio
123,Maglia Inanellata del Gladiatore Primordiale
124,Maglia Inanellata del Gladiatore Primordiale
125,Pelle di Drago del Gladiatore Primordiale
126,Pelle di Drago del Gladiatore Primordiale
127,Piastre Oscure del Gladiatore Primordiale
128,Piastre Oscure del Gladiatore Primordiale
129,Viltela del Gladiatore Primordiale
130,Viltela del Gladiatore Primordiale
131,Cuoioferro del Gladiatore Primordiale
132,Cuoioferro del Gladiatore Primordiale
133,Cuoio del Gladiatore Primordiale
134,Cuoio del Gladiatore Primordiale
135,Piastre del Gladiatore Primordiale
136,Piastre del Gladiatore Primordiale
137,Maglia Rinforzata del Gladiatore Primordiale
138,Maglia Rinforzata del Gladiatore Primordiale
139,Raso del Gladiatore Primordiale
140,Raso del Gladiatore Primordiale
141,Scaglie del Gladiatore Primordiale
142,Scaglie del Gladiatore Primordiale
143,Seta del Gladiatore Primordiale
144,Seta del Gladiatore Primordiale
145,Arsenale del Gladiatore Primordiale
146,Arsenale del Gladiatore Primordiale
147,
148,
149,
150,
151,
152,
153,
154,
155,Arsenale del Combattente Primordiale
156,Arsenale del Combattente Primordiale
157,Armatura Vilforgiata
158,Armatura di Vilmaglia
159,Armatura di Cuoio di Vilmanto
160,Armatura di Stoffa Vilinfusa
162,
163,
164,
167,
168,
169,
170,
171,Vessillo del Defunto Prescelto
172,Vessillo del Defunto Prescelto
173,Vessillo del Defunto Prescelto
174,Vessillo del Defunto Prescelto
175,Abiti del Defunto Prescelto
176,Abiti del Defunto Prescelto
177,Abiti del Defunto Prescelto
178,Abiti del Defunto Prescelto
179,Catene del Defunto Prescelto
180,Catene del Defunto Prescelto
181,Catene del Defunto Prescelto
182,Catene del Defunto Prescelto
183,Piastre Funerarie del Defunto Prescelto
184,Piastre Funerarie del Defunto Prescelto
185,Piastre Funerarie del Defunto Prescelto
186,Piastre Funerarie del Defunto Prescelto
187,Maglia Inanellata del Gladiatore Truce
188,Pelle di Drago del Gladiatore Truce
189,Piastre Oscure del Gladiatore Truce
190,Viltela del Gladiatore Truce
191,Cuoioferro del Gladiatore Truce
192,Cuoio del Gladiatore Truce
193,Piastre del Gladiatore Truce
194,Maglia Rinforzata del Gladiatore Truce
195,Raso del Gladiatore Truce
196,Scaglie del Gladiatore Truce
197,Seta del Gladiatore Truce
198,Maglia Inanellata del Gladiatore Temibile
199,Maglia Inanellata del Gladiatore Temibile
200,Pelle di Drago del Gladiatore Temibile
201,Piastre Oscure del Gladiatore Temibile
202,Viltela del Gladiatore Temibile
203,Cuoioferro del Gladiatore Temibile
204,Cuoio del Gladiatore Temibile
205,Piastre del Gladiatore Temibile
206,Maglia Rinforzata del Gladiatore Temibile
207,Raso del Gladiatore Temibile
208,Scaglie del Gladiatore Temibile
209,Seta del Gladiatore Temibile
210,Pelle di Drago del Gladiatore Temibile
211,Piastre Oscure del Gladiatore Temibile
212,Viltela del Gladiatore Temibile
213,Cuoioferro del Gladiatore Temibile
214,Cuoio del Gladiatore Temibile
215,Piastre del Gladiatore Temibile
216,Maglia Rinforzata del Gladiatore Temibile
217,Raso del Gladiatore Temibile
218,Scaglie del Gladiatore Temibile
219,Seta del Gladiatore Temibile
228,Set Rapido di Serban
230,Armatura Inanellata del Genitore
231,Armatura Inanellata del Figlio
232,Maglia Inanellata del Gladiatore Orgoglioso
233,Pelle di Drago del Gladiatore Orgoglioso
234,Piastre Oscure del Gladiatore Orgoglioso
235,Viltela del Gladiatore Orgoglioso
236,Cuoioferro del Gladiatore Orgoglioso
237,Cuoio del Gladiatore Orgoglioso
238,Piastre del Gladiatore Orgoglioso
239,Maglia Rinforzata del Gladiatore Orgoglioso
240,Raso del Gladiatore Orgoglioso
