ID,Value[0],Value[1],Value[2],Value[3],ParentItemBonusListID,Type,OrderIndex
2,7,15789,0,0,1,2,0
3,4,0,0,0,2,3,0
5,71,5263,0,0,3,2,0
43,4,0,0,0,15,3,0
44,4,0,0,0,15,1,1
45,32,3506,0,0,17,2,0
46,36,3506,0,0,18,2,0
47,32,3506,0,0,19,2,0
48,36,3506,0,0,19,2,1
49,32,3997,0,0,20,2,0
50,36,2664,0,0,20,2,1
51,32,3761,0,0,21,2,0
52,36,3076,0,0,21,2,1
53,32,3951,0,0,22,2,0
54,36,2745,0,0,22,2,1
55,32,3905,0,0,23,2,0
56,36,2827,0,0,23,2,1
57,32,3858,0,0,24,2,0
58,36,2909,0,0,24,2,1
59,32,3810,0,0,25,2,0
60,36,2992,0,0,25,2,1
61,32,3711,0,0,26,2,0
62,36,3161,0,0,26,2,1
63,32,3661,0,0,27,2,0
64,36,3246,0,0,27,2,1
65,32,3610,0,0,28,2,0
66,36,3332,0,0,28,2,1
67,32,3559,0,0,29,2,0
68,36,3418,0,0,29,2,1
69,32,3418,0,0,30,2,0
70,36,3559,0,0,30,2,1
71,32,3332,0,0,31,2,0
72,36,3610,0,0,31,2,1
73,32,3246,0,0,32,2,0
74,36,3661,0,0,32,2,1
75,32,3161,0,0,33,2,0
76,36,3711,0,0,33,2,1
77,32,3076,0,0,34,2,0
78,36,3761,0,0,34,2,1
79,32,2992,0,0,35,2,0
80,36,3810,0,0,35,2,1
81,32,2909,0,0,36,2,0
82,36,3858,0,0,36,2,1
83,32,2827,0,0,37,2,0
84,36,3905,0,0,37,2,1
85,32,2745,0,0,38,2,0
86,36,3951,0,0,38,2,1
87,32,2664,0,0,39,2,0
88,36,3997,0,0,39,2,1
89,63,3000,0,0,40,2,0
90,62,3000,0,0,41,2,0
91,61,3000,0,0,42,2,0
92,64,3000,0,0,43,2,0
93,1,0,0,0,44,1,0
94,32,2664,0,0,45,2,0
95,49,3997,0,0,45,2,1
96,32,2745,0,0,46,2,0
97,49,3951,0,0,46,2,1
98,32,2827,0,0,47,2,0
99,49,3905,0,0,47,2,1
100,32,2909,0,0,48,2,0
101,49,3858,0,0,48,2,1
102,32,2992,0,0,49,2,0
103,49,3810,0,0,49,2,1
104,32,3076,0,0,50,2,0
105,49,3761,0,0,50,2,1
106,32,3161,0,0,51,2,0
107,49,3711,0,0,51,2,1
108,32,3246,0,0,52,2,0
109,49,3661,0,0,52,2,1
110,32,3332,0,0,53,2,0
111,49,3610,0,0,53,2,1
112,32,3418,0,0,54,2,0
113,49,3559,0,0,54,2,1
114,32,3506,0,0,55,2,0
115,49,3506,0,0,55,2,1
116,32,3559,0,0,56,2,0
117,49,3418,0,0,56,2,1
118,32,3610,0,0,57,2,0
119,49,3332,0,0,57,2,1
120,32,3661,0,0,58,2,0
121,49,3246,0,0,58,2,1
122,32,3711,0,0,59,2,0
123,49,3161,0,0,59,2,1
124,32,3761,0,0,60,2,0
125,49,3076,0,0,60,2,1
126,32,3810,0,0,61,2,0
127,49,2992,0,0,61,2,1
128,32,3858,0,0,62,2,0
129,49,2909,0,0,62,2,1
130,32,3905,0,0,63,2,0
131,49,2827,0,0,63,2,1
132,32,3951,0,0,64,2,0
133,49,2745,0,0,64,2,1
134,32,3997,0,0,65,2,0
135,49,2664,0,0,65,2,1
136,32,2664,0,0,66,2,0
137,49,3997,0,0,66,2,1
138,32,2745,0,0,67,2,0
139,49,3951,0,0,67,2,1
140,32,2827,0,0,68,2,0
141,49,3905,0,0,68,2,1
142,32,2909,0,0,69,2,0
143,49,3858,0,0,69,2,1
144,32,2992,0,0,70,2,0
145,49,3810,0,0,70,2,1
146,32,3076,0,0,71,2,0
147,49,3761,0,0,71,2,1
148,32,3161,0,0,72,2,0
149,49,3711,0,0,72,2,1
150,32,3246,0,0,73,2,0
151,49,3661,0,0,73,2,1
152,32,3332,0,0,74,2,0
153,49,3610,0,0,74,2,1
154,32,3418,0,0,75,2,0
155,49,3559,0,0,75,2,1
156,32,3506,0,0,76,2,0
157,49,3506,0,0,76,2,1
158,32,3559,0,0,77,2,0
