ID,Description_lang
2,Agora com descrição extra
20,Série 10
226,Série 10 Elite
525,Série 9 Elite
653,Série 9
1013,Série 11
1208,Série 11 Elite
1591,Série 19
1593,Essa Cor Me Dói Os Olhos
1641,Localizador de Raides
2015,Heroico
2023,Série 10 Elite
2255,Série 12
2667,Série 12 Elite
3564,
3759,Material de Ofício
3765,Bolsa de 100 Compartimentos
3845,Heroico de Elite
3859,Elite
3933,Série 13
3934,Série 13 Elite
4918,Grau 1
4949,Grau 2
4953,Grau 3
4957,Grau 4
4961,Grau 5
4965,Grau 7
4969,Grau 8
4970,Grau 6
5213,Item de Cenário
5616,Forjado pelo Trovão
6360,Forjado pelo Trovão Heroico
6798,Grau 9
6842,Ranque ??
6843,Série 8
6894,Série 8 Elite
7052,Série 7
7225,Série 7 Elite
7261,Série 6
7434,Série 6 Elite
7463,Série 5
7636,Série 4
7775,Série 3
7906,Série 2
8027,Série 1
8869,Flexível
9059,Série 14
9459,Série 14 Elite
10066,Forjado pelo Trovão Heroico
10126,Série 15
10520,Série 15 Elite
11080,Perene
11179,Forjado para a Guerra Heroico
11428,Forjado para a Guerra
12743,Troféu
12790,Impecável
12934,Material de Alquimia
13021,Matéria-prima de Criação
13111,do Poder
13145,Mítico
13149,Matéria-prima de Engenharia
13150,do Clarão de Fogo
13151,do Inigualável
13152,do Gumepresto
13153,do Selvagem
13154,do Fanático
13155,do Astuto
13156,da Febre Ardente
13157,da Aurora
13158,do Primor
13159,do Zelote
13160,do Moldador de Ventos
13161,do Harmonioso
13162,do Impiedoso
13163,do Vaticinador
13164,do Nobre
13165,do Estrategista
13166,do Áugure
13167,do Impávido
13168,do Arauto
13169,do Rompe-procelas
13170,do Impaciente
13171,do Erudito
13172,do Adaptável
13173,do Incansável
13174,do Pio
13175,do Inquebrantável
13176,do Dizimador
13178,Torneio de Warlords
13181,Ingrediente de Culinária
13184,Reagente de criação
13185,Estágio 2 de 6
13186,Estágio 3 de 6
13187,Estágio 1 de 6
13188,Mítico Forjado em Guerra
13190,Equipamento de Seguidor
13191,Recurso da Guarnição
13192,Parte do Posto Comercial
13193,Normal
13194,Módulo de Posto Comercial
13195,Impecável
13196,Série 1 de Warlords
13197,Ficha de JxJ Racial
13198,Elite da Série 1 de Warlords
13201,Tipo 0
13202,Tipo 1 - Sagrado
13203,Tipo 1 - Fogo
13204,Tipo 1 - Corrompido
13205,Tipo 2 - Sagrado
13206,Tipo 2 - Fogo
13207,Tipo 2 - Corrompido
13208,Estágio 4 de 6
13209,Diagrama da Guarnição
13210,Andarilho do Tempo
13211,Série 2 de Warlords
13212,Elite da Série 2 de Warlords
13213,Série 3 de Warlords
13214,Elite da Série 3 de Warlords
13215,Batedor de Carteira
13216,Transtemporal
13217,Estágio 5 de 6
13218,Estágio 6 de 6
13219,Poder do Artefato
13220,Forjado para a Guerra Transtemporal
13222,Potencializado
13223,Mana Ancestral
13224,Equipamento Naval
13225,do Infortúnio
13226,Série 1 de Legion
13227,Série 1 de Legion - Elite
13228,Equipamento de Campeão
13230,Fase 1 de 9
13231,Fase 2 de 9
13232,Fase 3 de 9
13233,Fase 4 de 9
13234,Fase 5 de 9
13235,Fase 6 de 9
13236,Fase 7 de 9
13237,Fase 8 de 9
13238,Fase 9 de 9
13239,Forja Titânica
13241,Fúria de Odyn
13242,Ira de Helya
13243,Ceifagelo
13244,Congelante
13245,Verus
13246,Muramasa
13247,Al'burq
13248,Alra'ed
13249,Angústia
13250,Tristeza
13251,Sina
13252,Previsão
13253,Dilaceros
13254,Vontade de Akaari
13256,Obliterum: 0/10
13257,Obliterum: 1/10
13258,Obliterum: 2/10
13259,Obliterum: 3/10
13260,Obliterum: 4/10
13261,Obliterum: 5/10
13262,Obliterum: 6/10
13263,Obliterum: 7/10
13264,Obliterável
13265,Mítico 2
13266,Mítico 3
13267,Mítico 4
13268,Mítico 5
13269,Mítico 6
13270,Mítico 7
13271,Mítico 8
13272,Mítico 9
13273,Mítico 10
13274,Mítico 2 - Bingo
13275,Mítico 3 - Bingo
13276,Mítico 4 - Bingo
13277,Mítico 5 - Bingo
13278,Mítico 6 - Bingo
13279,Mítico 7 - Bingo
13280,Mítico 8 - Bingo
13281,Mítico 9 - Bingo
13282,Obliterum: 8/10
13284,Veterano
13285,Obliterum: 9/10
13286,Obliterum: 10/10
13287,Série 2 de Legion
13288,Série 2 de Legion - Elite
13289,Mítico 11
13290,Mítico 12
13291,25 jogadores (Normal)
13292,25 jogadores (Heroico)
13293,10 jogadores (Normal)
13294,Grau 8
13295,Série 3 de Legion
13296,Série 3 de Elite de Legion
13297,Série 4 de Legion
13298,Série 4 de Elite de Legion
