ID,Name_lang
6,Cavalo Castanho
7,Lobo Cinza
8,Garanhão Branco
9,Garanhão Preto
11,Cavalo Tobiano
12,Lobo Preto
13,Lobo Vermelho
14,Lobo Silvestre
15,Lobo Invernal
17,Corcel Vil
18,Égua Baia
19,Lobo Hediondo
20,Lobo Marrom
21,Carneiro Cinza
22,Carneiro Preto
24,Carneiro Branco
25,Carneiro Marrom
26,Sabre-de-gelo Listrado
27,Raptor Esmeralda
28,Cavalo Descarnado
31,Sabre-de-gelo Malhado
32,Tigre
34,Sabre-da-noite Listrado
35,Raptor Marfim
36,Raptor Turquesa
38,Raptor Violeta
39,Mecanostruz Vermelho
40,Mecanostruz Azul
41,Cavalo de Guerra
42,Mecanostruz Branco Modelo B
43,Mecanostruz Verde
45,Sabre-da-noite Preto
46,Sabre-de-gelo Ancião
50,Lobo Vermelho
51,Lobo Ártico
52,Baio
53,Garanhão Branco
54,Raptor Vermelho Mosqueado
55,Sabre-de-gelo de Hibérnia
56,Raptor Marfim
57,Mecanostruz Verde
58,Mecanostruz sem Pintura
62,Mecanostruz Azul-gelo Modelo A
63,Carneiro do Gelo
64,Carneiro Preto
65,Cavalo Descarnado Vermelho
66,Cavalo Descarnado Azul
67,Cavalo Descarnado Castanho
68,Cavalo de Guerra Descarnado Verde
69,Corcel da Morte de Rivendare
70,Kodo de Montaria
71,Kodo Cinza
72,Kodo Marrom
73,Kodo Verde
74,Kodo Ardósia
75,Corcel de Guerra Preto
76,Kodo de Guerra Preto
77,Tanquestruz Preto
78,Carneiro de Guerra Preto
79,Raptor de Guerra Preto
80,Cavalo de Guerra Descarnado Vermelho
81,Tigre de Guerra Preto
82,Lobo de Guerra Preto
83,Corcel Medonho
84,Corcel
85,Sabre-das-brumas Veloz
87,Sabre-de-gelo Veloz
88,Mecanostruz Amarelo Veloz
89,Mecanostruz Branco Veloz
90,Mecanostruz Verde Veloz
91,Baio Veloz
92,Corcel Branco Veloz
93,Corcel Castanho Veloz
94,Carneiro Marrom Veloz
95,Carneiro Cinza Veloz
96,Carneiro Branco Veloz
97,Raptor Azul Veloz
98,Raptor Oliva Veloz
99,Raptor Laranja Veloz
100,Cavalo de Guerra Descarnado Roxo
101,Grande Kodo Branco
102,Grande Kodo Cinza
103,Grande Kodo Marrom
104,Lobo Marrom Veloz
105,Lobo Silvestre Veloz
106,Lobo Cinza Veloz
107,Sabre-trovão Veloz
