ID,Name_lang
89,Глубток
90,Хеликс Отломчикс
91,Врагорез-5000
92,Адмирал Терзающий Рев
93,"""Капитан"" Пирожок"
95,Ванесса ван Клиф
96,Барон Эшбери
97,Барон Сильверлейн
98,Командир Спрингвейл
99,Лорд Вальден
100,Лорд Годфри
101,Леди Наз'жар
102,"Командир Улток, разлагающийся принц"
103,Подчиняющий разум Гур'ша
104,Озумат
105,Ром'огг Костекрушитель
106,Глашатай сумрака Корла
107,Карш Гнущий Сталь
108,Красавица
109,Повелитель Перерожденных Обсидий
110,Корбор
111,Камнешкур
112,Озрук
113,Верховная жрица Азил
114,Великий визирь Эртан
115,Альтаирий
116,"Асаад, калиф зефиров"
117,Генерал Хусам
118,Зубохлоп
119,Верховный пророк Барим
122,Сиамат
124,Храмовый страж Ануур
125,Пта Ярость Земли
126,Анрафет
127,"Изисет, творение Магии"
128,"Аммунаэ, творение Жизни"
129,"Сетеш, творение Разрушения"
130,"Радж, творение Солнца"
131,Генерал Умбрисс
132,Начальник кузни Тронг
133,Драгх Горячий Мрак
134,"Эрудакс, властитель недр"
139,Аргалот
140,Оку'тар
154,Конклав ветра
155,Ал'акир
156,Халфий Змеерез
157,Тералион и Валиона
158,Совет Перерожденных
167,Чо'Галл
168,Синестра
169,"Защитная система ""Омнитрон"""
170,Магмарь
171,Атрамед
172,Химерон
173,Малориак
174,Гибель Нефариана
175,Верховный жрец Веноксис
176,Мандокир Повелитель Крови
177,Тайник Безумия – Гри'лек
178,Тайник Безумия – Хазза'рах
179,Тайник Безумия – Ренатаки
180,Тайник Безумия – Вушулай
181,Верховная жрица Килнара
184,Занзил
185,Джин'до Низвергатель Богов
186,Акил'зон
187,Налоракк
188,Джан'алай
189,Халаззи
190,Повелитель проклятий Малакрасс
191,Даакара
192,Бет'тилак
193,Повелитель Риолит
194,Алисразор
195,Шэннокс
196,"Бейлрок, привратник"
197,Мажордом Фэндрал Олений Шлем
198,Рагнарос
283,Эхо Тиранды
285,Эхо Джайны
289,Дорнозму
290,Перот'арн
291,Королева Азшара
292,Маннорот и Варо'тен
311,Морхок
317,Хагара Владычица Штормов
318,Хребет Смертокрыла
322,Аркурион
323,Эхо Сильваны
324,Полководец Зон'озз
325,Йор'садж Неспящий
331,Ультраксион
332,Воевода Черный Рог
333,Безумие Смертокрыла
335,Ша Сомнения
339,Ализабаль
340,Эхо Бейна
341,Архиепископ Бенедикт
342,Азира Убийца Зари
368,Гхаму-ра
369,Верховный дознаватель Герштан
370,Лорд Роккор
371,Псарь Гребмар
372,Зал Правосудия
373,Пиромант Зерно Мудрости
374,Лорд Опалитель
375,Тюремщик Стилгисс
376,Финий Темнострой
377,Бейл'Гор
378,Генерал Кузня Гнева
379,Повелитель големов Аргелмах
380,Харли Чернопых
381,Фаланг
383,Штоппор Наливалс
384,Посол Огнехлыст
385,Семеро
386,Магмус
387,Император Дагран Тауриссан
388,Вождь Омокк
389,Темная охотница Вос'гаджин
390,Воевода Вун
391,Мать Дымная Паутина
392,Аррок Смертный Вопль
393,Интендант Зигрис
394,Халикон
395,Гизрул Поработитель
396,Властитель Змейталак
402,Зеврим Терновое Копыто
403,Гидротварь
404,Лефтендрис
405,Алззин Перевертень
406,Тендрис Криводрев
407,Иллиана Воронья Ольха
408,Магистр Календрис
409,Бессмер'тер
410,Принц Тортелдрин
411,Стражник Мол'дар
412,Топотун Криг
413,Стражник Фенгус
414,Стражник Слип'кик
415,Капитан Давигром
416,Чо'Раш Наблюдатель
417,Король Гордок
418,"""Толпогон 9-60"""
419,Грязнюк
420,Липкая муть
421,"""Электрошокер-6000"""
422,Анжинер Термоштепсель
423,Ноксион
424,Бритвохлест
