ID,Name_lang
13,Geschärft II
14,Geschärft III
15,Verstärkt (+$k1 Rüstung)
16,Verstärkt (+$k1 Rüstung)
17,Verstärkt (+$k1 Rüstung)
18,Verstärkt (+$k1 Rüstung)
19,Beschwert I
20,Beschwert II
21,Beschwert III
24,+$k1 Mana
25,Schattenöl
26,Frostöl
30,Zielfernrohr (+$k1 Schaden)
32,Zielfernrohr (+$k1 Schaden)
33,Zielfernrohr (+$k1 Schaden)
34,Gegengewicht (+$k1 Tempo)
36,Verzaubern: Feuer
37,Stahlwaffenkette
38,+$k1 Ausweichen
40,Geschärft I
41,+$k1 Gesundheit
43,Eisenstachel
44,Absorption ($7423s1)
63,Absorption ($7447s1)
64,+$k1 Vielseitigkeit
66,+$k1 Ausdauer
67,+$k1 Schaden
68,+$k1 Stärke
69,+$k1 Stärke
70,+$k1 Stärke
71,+$k1 Ausdauer
72,+$k1 Ausdauer
73,+$k1 Ausdauer
74,+$k1 Beweglichkeit
75,+$k1 Beweglichkeit
76,+$k1 Beweglichkeit
77,+$k1 Schaden
78,+$k1 Schaden
79,+$k1 Intelligenz
80,+$k1 Intelligenz
81,+$k1 Intelligenz
82,+$k1 Vielseitigkeit
83,+$k1 Vielseitigkeit
84,+$k1 Vielseitigkeit
85,+$k1 Rüstung
86,+$k1 Rüstung
87,+$k1 Rüstung
88,
89,+$k1 Rüstung
90,+$k1 Beweglichkeit
91,+$k1 Beweglichkeit
92,+$k1 Beweglichkeit
93,+$k1 Beweglichkeit
94,+$k1 Intelligenz
95,+$k1 Intelligenz
96,+$k1 Intelligenz
97,+$k1 Intelligenz
98,+$k1 Vielseitigkeit
99,+$k1 Vielseitigkeit
100,+$k1 Vielseitigkeit
101,+$k1 Vielseitigkeit
102,+$k1 Ausdauer
103,+$k1 Ausdauer
104,+$k1 Ausdauer
105,+$k1 Ausdauer
106,+$k1 Stärke
107,+$k1 Stärke
108,+$k1 Stärke
109,+$k1 Stärke
110,+$k1 Ausweichen
111,+$k1 Ausweichen
112,+$k1 Ausweichen
113,+$k1 Ausweichen
114,+$k1 Ausweichen
115,+$k1 Ausweichen
116,+$k1 Ausweichen
117,+$k1 Schaden
118,+$k1 Schaden
119,+$k1 Schaden
120,+$k1 Schaden
121,+$k1 Rüstung
122,+$k1 Rüstung
123,+$k1 Rüstung
125,+1 Schwertfertigkeit
126,+2 Schwertfertigkeit
127,+3 Schwertfertigkeit
128,+4 Schwertfertigkeit
129,+5 Schwertfertigkeit
130,+6 Schwertfertigkeit
131,+7 Schwertfertigkeit
132,+1 Zweihandschwertfertigkeit
