ID,Name_lang
1,Test Transmog Set Group
6,Tier Awesome
7,Tier It Up
8,The Nighthold
9,Season 12
10,Throne of Thunder
11,Warlords Season 1
12,Warlords Season 2
13,Warlords Season 3
14,Season 15
15,Season 14
16,Season 13
17,Season 11
18,Season 10
19,Season 9
20,Season 8
21,Season 7
22,Season 6
23,Season 5
24,Season 4
25,Season 3
26,Season 2
27,Season 1
28,Hellfire Citadel
29,Blackrock Foundry
30,Siege of Orgrimmar
31,Heart of Fear
32,Dragon Soul
33,Firelands
34,The Bastion of Twilight
35,Icecrown Citadel
36,Trial of the Crusader
37,Ulduar
38,Naxxramas
39,Black Temple
40,Serpentshrine Cavern
41,Gruul's Lair
42,Naxxramas
43,Blackwing Lair
44,Molten Core
45,Legion Season 1 and 2
46,Legion Season 3 and 4
47,Trial of Valor
48,Legion Invasions
49,Legion Order Hall
50,Sunwell Plateau
51,Temple of Ahn'Qiraj
52,Darkmoon Faire
53,Darkmoon Faire
54,Hellfire Citadel
56,Tomb of Sargeras
57,"Legion Season 5, 6, and 7"
58,Pandaria Challenge Dungeons
59,Time's Keeper
60,Trial of Style
61,Draenor Factions
62,"Antorus, the Burning Throne"
63,Seat of the Triumvirate
64,Allied Races
165,Shrine of the Storm
166,Uldir
167,Battle Season 1 and Arathi Warfront
168,Battle Season 2 and Darkshore Warfront
169,Battle of Dazar'alor
171,Brawler's Guild
172,The Eternal Palace
173,Battle Season 3
174,Promotion: Recruit-A-Friend
175,Battle Season 4
176,"Ny'alotha, the Waking City"
177,Development
178,Night Fae
179,Venthyr
180,Necrolord
181,Kyrian
182,Shadowlands Season 1
183,Castle Nathria
184,Grove Guardian's Regalia
185,Aspirant's Regalia
186,Necromantic Vestments
187,Court Attire
188,Inquisitor's Vestments
189,Shadowlands Season 2
190,Sanctum of Domination
191,Shadowlands Season 3
192,Sepulcher of the First Ones
193,Shadowlands Seasons 3 and 4
194,Valdrakken Civilian Clothing
195,Vault of the Incarnates
199,Primal Elements
200,Dracthyr Battlegear
201,
202,Tuskarr Battlegear
203,Expedition Gear
204,Titan Keeper's Vestments
205,Centaur Regalia
206,Djaradin Battlegear
207,Dragonflight Season 1
