ID,Name_lang
6,Caballo marrón
7,Lobo grisáceo
8,Semental blanco
9,Semental negro
11,Pinto
12,Lobo negro
13,Lobo rojo
14,Lobo gris
15,Lobo invernal
17,Corcel vil
18,Yegua zaina
19,Lobo temible
20,Lobo marrón
21,Carnero gris
22,Carnero negro
24,Carnero blanco
25,Carnero marrón
26,Sable de hielo rayado
27,Raptor de esmeralda
28,Caballo esquelético
31,Sable de hielo moteado
32,Tigre
34,Sable de la noche rayado
35,Raptor de marfil
36,Raptor de turquesa
38,Raptor violeta
39,Mecazancudo rojo
40,Mecazancudo azul
41,Caballo de guerra
42,Mecazancudo blanco modelo B
43,Mecazancudo verde
45,Sable de la noche negro
46,Sable de hielo anciano
50,Lobo rojo
51,Lobo ártico
52,Palomino
53,Semental blanco
54,Raptor rojo jaspeado
55,Sable de hielo de Cuna del Invierno
56,Raptor de marfil
57,Mecazancudo verde
58,Mecazancudo sin pintar
62,Mecazancudo azul hielo modelo A
63,Carnero de escarcha
64,Carnero negro
65,Caballo esquelético rojo
66,Caballo esquelético azul
67,Caballo esquelético marrón
68,Caballo de guerra esquelético verde
69,Destrero de la muerte de Osahendido
70,Kodo de montar
71,Kodo gris
72,Kodo marrón
73,Kodo verde
74,Kodo azulado
75,Corcel de guerra negro
76,Kodo de guerra negro
77,Zancudo de batalla negro
78,Carnero de guerra negro
79,Raptor de guerra negro
80,Caballo de guerra esquelético rojo
81,Tigre de guerra negro
82,Lobo de guerra negro
83,Corcel nefasto
84,Destrero
85,Sable de la niebla presto
87,Sable de hielo presto
88,Mecazancudo amarillo presto
89,Mecazancudo blanco presto
90,Mecazancudo verde presto
91,Palomino presto
92,Corcel blanco presto
93,Corcel marrón presto
94,Carnero marrón presto
95,Carnero gris presto
96,Carnero blanco presto
97,Raptor azul presto
98,Raptor oliva presto
99,Raptor naranja presto
100,Caballo de guerra esquelético morado
101,Gran kodo blanco
102,Gran kodo gris
103,Gran kodo marrón
104,Lobo marrón presto
105,Lobo gris presto
106,Lobo grisáceo presto
107,Sable de la tempestad presto
108,Aullador Lobo Gélido
109,Carnero de batalla Pico Tormenta
110,Raptor Razzashi presto
111,Tigre Zulian presto
116,Tanque de batalla qiraji negro
117,Tanque de batalla qiraji azul
118,Tanque de batalla qiraji rojo
119,Tanque de batalla qiraji amarillo
120,Tanque de batalla qiraji verde
121,Tanque de batalla qiraji negro
122,Tanque de batalla qiraji negro
123,Draco abisal
125,Tortuga de montar
129,Grifo dorado
130,Grifo de ébano
131,Grifo nevado
132,Grifo azul presto
133,Jinete del viento leonado
134,Jinete del viento azul
135,Jinete del viento verde
136,Jinete del viento rojo presto
137,Grifo rojo presto
138,Grifo verde presto
139,Grifo morado presto
140,Jinete del viento verde presto
141,Jinete del viento amarillo presto
142,Jinete del viento morado presto
145,Mecazancudo azul
146,Halcón zancudo rosa presto
147,Elekk marrón
149,Destrero thalassiano
150,Caballo de guerra thalassiano
151,Talbuk de guerra oscuro
152,Halcón zancudo rojo
153,Talbuk de guerra cobalto
154,Talbuk de guerra blanco
155,Talbuk de guerra plateado
156,Talbuk de guerra canela
157,Halcón zancudo morado
158,Halcón zancudo azul
159,Halcón zancudo negro
160,Halcón zancudo verde presto
161,Halcón zancudo morado presto
162,Zancudo de guerra presto
163,Elekk gris
164,Elekk morado
165,Gran elekk verde
166,Gran elekk azul
167,Gran elekk morado
168,Caballo de guerra ígneo
169,Draco abisal presto
170,Talbuk de montar cobalto
171,Talbuk de montar oscuro
172,Talbuk de montar plateado
173,Talbuk de montar canela
174,Talbuk de montar blanco
176,Raya abisal de montar verde
177,Raya abisal de montar roja
178,Raya abisal de montar morada
179,Raya abisal de montar plateada
180,Raya abisal de montar azul
183,Cenizas de Al'ar
185,Lord Cuervo
186,Draco Ala Abisal ónice
187,Draco Ala Abisal azur
188,Draco Ala Abisal cobalto
189,Draco Ala Abisal morado
190,Draco Ala Abisal veridiana
191,Draco Ala Abisal violeta
196,Tigre espectral
197,Tigre espectral presto
