ID,Description_lang
2,Most gold ever owned
3,Most gold ever owned:
5,Mounts owned
6,Number of mounts
8,Use Weighted Jack-o'-Lanterns to put pumpkin heads on each of the races listed below.
9,Dwarf
10,Gnome
11,Blood Elf
12,Draenei
13,Human
14,Night Elf
15,Orc
16,Tauren
17,Troll
18,Undead
19,Worgen
20,Goblin
22,Duels lost
23,Duels lost
25,Total deaths to Lich King 25-player raid bosses
26,XT-002 Deconstructor
27,Freya
28,Mimiron
29,General Vezax
30,Yogg-Saron
31,Algalon the Observer
32,Emalon the Storm Watcher
33,Flame Leviathan
34,Razorscale
35,Ignis the Furnace Master
36,Auriaya
37,Hodir
38,Steelbreaker
39,Stormcaller Brundir
40,Kologarn
41,Thaddius
42,Thane Korth'azz
43,Patchwerk
44,Sapphiron
45,Kel'Thuzad
46,Lady Blaymeux
47,Baron Rivendare
48,Noth the Plaguebringer
49,Heigan the Unclean
50,Archavon the Stone Watcher
51,Anub'Rekhan
52,Gluth
53,Gothik the Harvester
54,Grand Widow Faerlina
55,Grobbulus
56,Instructor Razuvious
57,Loatheb
58,Maexxna
59,Sartharion
60,Anub'arak
61,Lady Deathwhisper
62,Toravon the Ice Watcher
63,Rotface
64,Icehowl
65,Sir Zeliek
66,Malygos
67,Lord Jaraxxus
68,Fjola Lightbane
69,Lord Marrowgar
70,Deathbringer Saurfang
71,Blood-Queen Lana'thel
72,Sindragosa
73,The Lich King
74,Festergut
75,Professor Putricide
76,Eydis Darkbane
77,Runemaster Molgeim
78,Thorim
80,"Earned the title, ""Grand Marshal""."
81,Grand Marshal
83,"Earned the title, ""Lieutenant Commander""."
84,Lieutenant Commander
86,"Earned the title, ""Knight""."
87,Knight
89,Vault of Mysteries (Mogu'shan Vaults Second Half)
90,Four Kings
91,Elegon
92,Will of the Emperor
97,Shoot off 10 Festival Firecrackers in 30 seconds or less.
98,Shoot off 10 Festival Firecrackers in 30 seconds or less
103,Honor the flames of Kalimdor.
104,Ashenvale
105,Bloodmyst Isle
106,Desolace
107,Feralas
108,Teldrassil
109,Tanaris
110,Dustwallow Marsh
111,Azuremyst Isle
112,Silithus
113,Winterspring
114,Darkshore
115,Southern Barrens
117,Win 10 Arathi Basin matches while controlling all 5 flags.
118,Win 10 Arathi Basin matches while controlling all 5 flags
120,Defeat Cyanigosa in The Violet Hold on Heroic Difficulty.
121,Cyanigosa
123,Obtain a Grand Ice Mammoth.
124,Grand Ice Mammoth
125,Grand Ice Mammoth
126,Grand Ice Mammoth
127,Grand Ice Mammoth
129,Win Arathi Basin by 50 points or less.
130,Win Arathi Basin by 50 points or less.
132,Proud owner of the 2007 Vintage Yellow Brewfest Stein.
133,Filled Yellow Brewfest Stein
134,Filled Yellow Brewfest Stein
135,Filled Yellow Brewfest Stein
136,Filled Yellow Brewfest Stein
137,Yellow Brewfest Stein
138,Filled Yellow Brewfest Stein
140,Deaths in Warsong Gulch
141,Deaths in Warsong Gulch
143,Deaths from Drek'Thar
144,Killed by Drek'Thar
146,Items disenchanted
147,Disenchanted items
149,Obtain 225 skill points in first aid.
150,Obtain 225 skill points in first aid.
152,Defeat Kil'jaeden in Sunwell Plateau.
153,Kil'jaeden
154,Crown of Dath'Remar
155,Helm of Arcane Purity
156,Mask of the Fury Hunter
157,"Apolyon, the Soul-Render"
158,Cloak of Unforgivable Sin
159,Coif of Alleria
160,Cowl of Gul'dan
161,Crown of Anasterian
162,Crux of the Apocalypse
163,Hammer of Sanctification
164,Handguards of the Dawn
165,Helm of Burning Righteousness
166,Sunflare
167,Thalassian Ranger Gauntlets
168,Helm of Uther's Resolve
169,Duplicitous Guise
170,Cover of Ursol the Wise
171,Dark Conjuror's Collar
172,Tattered Cape of Antonidas
173,Handguards of Defiled Worlds
174,Shroud of Chieftain Ner'zhul
175,Golden Staff of the Sin'dorei
176,Hand of the Deceiver
177,"Thori'dal, the Stars' Fury"
178,Cover of Ursoc the Mighty
179,Gloves of Tyri's Power
180,Borderland Paingrips
181,Cowl of Light's Purity
183,"While your team holds 4 of the bases in Eye of the Storm, personally grab the flag and capture it."
184,Capture a flag with 4 bases held
186,Take 50 graveyards in Alterac Valley.
187,Take 50 graveyards
189,Achieved Vengeful Gladiator title.
190,Vengeful Gladiator
192,Receive 5 Coins of Ancestry.
193,Receive 5 Coins of Ancestry
195,Revived by druids
196,Revive (Rank 7)
197,Revive (Rank 5)
198,Revive (Rank 4)
199,Revive (Rank 2)
200,Revive (Rank 6)
201,Revive (Rank 1)
202,Revive (Rank 3)
204,Win a greed roll on a superior or better item above level 185 by rolling 100.
205,Roll greed and get exactly 100 on an item over level 185.
207,Talent tree respecs
208,Talent tree respecs
210,Keli'dan the Breaker kills (The Blood Furnace)
211,Keli'dan the Breaker
213,Catch a fish in each of the specific nodes listed below.
214,Brackish Mixed School
215,Bluefish School
216,Mudfish School
217,School of Darter
218,Highland Mixed School
219,Sporefish School
221,Grand Widow Faerlina kills (Naxxramas 25 player)
222,Grand Widow Faerlina
227,"Explore Borean Tundra, revealing the covered areas of the world map."
228,Temple City of En'kilah
229,The Geyser Fields
230,Garrosh's Landing
231,Bor'gorok Outpost
232,Riplash Strand
233,The Dens of the Dying
234,Steeljaw's Caravan
235,Kaskala
236,Death's Stand
237,Amber Ledge
238,Warsong Hold
239,Valiance Keep
240,Coldarra
248,Defeat Emperor Dagran Thaurissan.
249,The Fate of the Kingdom
250,The Royal Rescue
251,Emperor Dagran Thaurissan
253,Defeat Darkmaster Gandling
255,Darkmaster Gandling
257,Defeat the evil masterminds inhabiting Stratholme.
258,Lord Aurius Rivendare
259,Balnazzar
261,Aeonus kills (Opening of the Dark Portal)
262,Aeonus
264,Most expensive bid on auction
265,Highest Auction Bid
267,Win Eye of the Storm with a score of 1600 to 0.
268,Win 1600 to 0
270,Win a need roll on a superior or better item above level 185 by rolling 100.
271,roll need and get exactly 100 on an item above 185
273,Prince Malchezaar kills (Karazhan)
274,Prince Malchezaar
276,Chief Ukorz Sandscalp kills (Zul'Farrak)
277,Chief Ukorz Sandscalp
279,"Earned the title, ""Warlord""."
280,Warlord
282,"Earned the title, ""General""."
283,General
285,Statistic: Elixirs consumed
286,Elixir of Lion's Strength
287,Elixir of Major Agility
288,Elixir of Major Defense
289,Elixir of Major Mageblood
290,Elixir of Major Shadow Power
291,Elixir of Mighty Defense
292,Greater Arcane Elixir
293,Ground Scorpok Assay
294,Elixir of Wisdom
295,Elixir of the Mongoose
296,Fel Strength Elixir
297,Gift of Arthas
298,Bloodberry Elixir
299,Elixir of Detect Undead
300,Elixir of Giant Growth
301,Elixir of Greater Agility
302,Arcane Elixir
303,Cerebral Cortex Compound
304,Elixir of Mighty Strength
305,Elixir of Minor Agility
306,Elixir of Shadow Power
307,Elixir of Spirit
308,Sheen of Zanza
309,Swiftness of Zanza
310,Earthen Elixir
311,Elixir of Brute Force
312,Elixir of Defense
313,Elixir of Demonslaying
314,Elixir of Detect Demon
315,Elixir of Fortitude
316,Elixir of Frost Power
317,Elixir of Greater Firepower
318,Elixir of Greater Intellect
319,Strong Troll's Blood Elixir
320,Elixir of Mighty Defense
321,Elixir of Mighty Thoughts
322,Adept's Elixir
323,Major Troll's Blood Elixir
324,Elixir of Mighty Agility
325,Weak Troll's Blood Elixir
326,Mighty Troll's Blood Elixir
327,Wrath Elixir
328,Bloodkelp Elixir of Dodging
329,Elixir of Shadows
330,Drakuru's Elixir
331,Zort's Protective Elixir
332,Elixir of Draenic Wisdom
333,Elixir of Giants
334,Elixir of Lesser Agility
335,Bloodkelp Elixir of Resistance
336,Elixir of Water Walking
337,Elixir of Expertise
338,Crystal Ward
339,Juju Chill
340,Juju Escape
341,Elixir of Accuracy
342,Elixir of Armor Piercing
343,Elixir of Lightning Speed
344,Juju Ember
345,Winterfall Firewater
346,Mageblood Elixir
347,Spellpower Elixir
348,Worg's Blood Elixir
349,Videre Elixir
350,Ahuurn's Elixir
351,Zort's Protective Elixir
352,Juju Might
353,Elixir of Deadly Strikes
354,Elixir of Empowerment
355,Elixir of Ironskin
356,Elixir of Ogre's Strength
357,Lung Juice Cocktail
358,Spirit of Zanza
359,Elixir of Major Strength
360,Crystal Force
361,Noggenfogger Elixir
362,Murkweed Elixir
363,Elixir of Healing Power
364,Elixir of Major Firepower
365,Elixir of Major Frost Power
366,Elixir of Major Fortitude
367,Catseye Elixir
368,Elixir of Agility
369,Elixir of Dream Vision
370,Elixir of Firepower
371,Elixir of Greater Defense
372,Elixir of Greater Water Breathing
373,Elixir of Camouflage
374,Elixir of Detect Lesser Invisibility
375,Elixir of Mastery
376,Elixir of Mighty Fortitude
377,Elixir of Mighty Mageblood
378,Elixir of Minor Defense
379,Elixir of Minor Fortitude
380,Elixir of Superior Defense
381,Elixir of Toughness
382,Elixir of Water Breathing
383,Elixir of the Sages
384,Elixir of the Searching Eye
385,Gizzard Gum
386,R.O.I.D.S.
387,Onslaught Elixir
388,Guru's Elixir
389,Elixir of Deep Earth
390,Elixir of the Cobra
391,Elixir of Impossible Accuracy
392,Elixir of the Master
393,Elixir of the Mighty Speed
394,Prismatic Elixir
395,Ghost Elixir
396,Elixir of the Naga
398,Total times LOL'd
399,laugh
400,chuckle
401,guffaw
402,rofl
403,giggle
405,"Explore Teldrassil, revealing the covered areas of the world map."
406,Starbreeze Village
407,The Oracle Glade
408,Wellspring Lake
409,Darnassus
410,Lake Al'Ameth
411,Shadowglen
412,Ban'ethil Hollow
413,Gnarlpine Hold
414,Rut'theran Village
415,Pools of Arlithrien
416,The Cleft
417,Dolanaar
419,Win Warsong Gulch.
420,Win Warsong Gulch
422,Complete 100 victories in Warsong Gulch.
423,Complete 100 victories in Warsong Gulch
425,Defeat Pathaleon the Calculator on Heroic Difficulty.
426,Pathaleon the Calculator
428,Kill Lor'themar Theron.
429,Lor'themar Theron
431,"Raise your reputation level from unfriendly to exalted with Timbermaw Hold, Sporeggar and the Kurenai."
432,Exalted with the Kurenai
433,Exalted with the Sporeggar
434,Exalted with Timbermaw Hold
436,Obtain The Horseman's Reins from The Headless Horseman in the Scarlet Monastery during Hallow's End.
437,Headless Horseman's Mount
439,"Earned the title, ""Legionnaire""."
440,Legionnaire
448,"While wearing 3 pieces of Brewfest clothing, get completely smashed and dance in Dalaran."
449,/dance
451,Slay 15 turkeys in 3 minutes.
452,15 Turkeys in 3 minutes
454,Enjoy a Buttermilk Delight with someone in Dalaran at a Romantic Picnic during the Love is in the Air celebration.
455,Buttermilk Delight at Romantic Picnic
456,Romantic Picnic
458,First Aid skill
459,First aid skill
461,Visit a Barber Shop and get your hair cut.
462,Visit a barbershop and pay for using their services.
464,Shoot off 10 Love Rockets in 20 seconds or less.
465,Shoot off 10 Love Rockets in 20 seconds or less
467,Number of times hearthed
468,Hearthstone
469,Ruby Slippers
470,The Innkeeper's Daughter
472,"Explore Zangarmarsh, revealing the covered areas of the world map."
473,Quagg Ridge
474,The Lagoon
475,Telredor
476,Cenarion Refuge
477,Feralfen Village
478,Umbrafen Village
479,Sporeggar
480,Orebor Harborage
481,The Spawning Glen
482,Darkcrest Shore
483,The Dead Mire
484,Twin Spire Ruins
485,Ango'rosh Grounds
486,Marshlight Lake
487,Ango'rosh Stronghold
488,Bloodscale Grounds
489,Zabra'jin
490,Hewn Bog
492,"Explore Grizzly Hills, revealing the covered areas of the world map."
493,Voldrune
494,Granite Springs
495,Camp Oneqwah
496,Drak'Tharon Keep
497,Amberpine Lodge
498,Blue Sky Logging Grounds
499,Conquest Hold
500,Drakil'jin Ruins
501,Dun Argol
502,Grizzlemaw
503,Rage Fang Shrine
504,Thor Modan
505,Venture Bay
506,Westfall Brigade Encampment
508,Earn a 2200 personal rating in the 5v5 bracket of the arena.
509,2200 rating
511,Win Alterac Valley while your team controls both mines.
512,Kobold Cave Owned
513,Trogg Cave Owned
515,Complete the Flame Keeper achievements.
516,Flame Keeper of Kalimdor
517,Flame Keeper of Outland
518,Flame Keeper of Eastern Kingdoms
519,Flame Keeper of Cataclysm
520,Flame Keeper of Northrend
522,"Wielder of Sulfuras, Hand of Ragnaros."
523,
524,"Sulfuras, Hand of Ragnaros"
526,Gain exalted reputation with the Warsong Outriders.
527,Exalted with Warsong Outriders
529,Defeat Keli'dan the Breaker on Heroic Difficulty.
530,Keli'dan the Breaker
532,5v5 victories
533,Ruins of Lordaeron 5v5 Wins
534,Nagrand 5v5 Wins
535,Dalaran 5v5 Wins
536,Blade's Edge 5v5 Wins
537,Ring of Valor 5v5 Wins
539,2v2 matches
