ID,Name_lang
63,Deadmines
64,Shadowfang Keep
65,Throne of the Tides
66,Blackrock Caverns
67,The Stonecore
68,The Vortex Pinnacle
69,Lost City of the Tol'vir
70,Halls of Origination
71,Grim Batol
72,The Bastion of Twilight
73,Blackwing Descent
74,Throne of the Four Winds
75,Baradin Hold
76,Zul'Gurub
77,Zul'Aman
78,Firelands
184,End Time
185,Well of Eternity
186,Hour of Twilight
187,Dragon Soul
226,Ragefire Chasm
227,Blackfathom Deeps
228,Blackrock Depths
229,Lower Blackrock Spire
230,Dire Maul
231,Gnomeregan
232,Maraudon
233,Razorfen Downs
234,Razorfen Kraul
235,Scarlet Monastery - OLD
236,Stratholme
237,The Temple of Atal'hakkar
238,The Stockade
239,Uldaman
240,Wailing Caverns
241,Zul'Farrak
246,Scholomance
247,Auchenai Crypts
248,Hellfire Ramparts
249,Magisters' Terrace
250,Mana-Tombs
251,Old Hillsbrad Foothills
252,Sethekk Halls
253,Shadow Labyrinth
254,The Arcatraz
255,The Black Morass
256,The Blood Furnace
257,The Botanica
258,The Mechanar
259,The Shattered Halls
260,The Slave Pens
261,The Steamvault
262,The Underbog
271,Ahn'kahet: The Old Kingdom
272,Azjol-Nerub
273,Drak'Tharon Keep
274,Gundrak
275,Halls of Lightning
276,Halls of Reflection
277,Halls of Stone
278,Pit of Saron
279,The Culling of Stratholme
280,The Forge of Souls
281,The Nexus
282,The Oculus
283,The Violet Hold
284,Trial of the Champion
285,Utgarde Keep
286,Utgarde Pinnacle
302,Stormstout Brewery
303,Gate of the Setting Sun
311,Scarlet Halls
312,Shado-Pan Monastery
313,Temple of the Jade Serpent
316,Scarlet Monastery
317,Mogu'shan Vaults
320,Terrace of Endless Spring
321,Mogu'shan Palace
322,Pandaria
324,Siege of Niuzao Temple
330,Heart of Fear
362,Throne of Thunder
369,Siege of Orgrimmar
385,Bloodmaul Slag Mines
457,Blackrock Foundry
476,Skyreach
477,Highmaul
536,Grimrail Depot
537,Shadowmoon Burial Grounds
547,Auchindoun
556,The Everbloom
557,Draenor
558,Iron Docks
559,Upper Blackrock Spire
669,Hellfire Citadel
707,Vault of the Wardens
716,Eye of Azshara
721,Halls of Valor
726,The Arcway
727,Maw of Souls
740,Black Rook Hold
741,Molten Core
742,Blackwing Lair
743,Ruins of Ahn'Qiraj
744,Temple of Ahn'Qiraj
745,Karazhan
746,Gruul's Lair
747,Magtheridon's Lair
748,Serpentshrine Cavern
749,The Eye
750,The Battle for Mount Hyjal
751,Black Temple
752,Sunwell Plateau
753,Vault of Archavon
754,Naxxramas
755,The Obsidian Sanctum
756,The Eye of Eternity
757,Trial of the Crusader
758,Icecrown Citadel
759,Ulduar
760,Onyxia's Lair
761,The Ruby Sanctum
762,Darkheart Thicket
767,Neltharion's Lair
768,The Emerald Nightmare
777,Assault on Violet Hold
786,The Nighthold
800,Court of Stars
822,Broken Isles
860,Return to Karazhan
861,Trial of Valor
875,Tomb of Sargeras
900,Cathedral of Eternal Night
945,Seat of the Triumvirate
946,"Antorus, the Burning Throne"
959,Invasion Points
968,Atal'Dazar
1001,Freehold
1002,Tol Dagor
1012,The MOTHERLODE!!
1021,Waycrest Manor
1022,The Underrot
1023,Siege of Boralus
1028,Azeroth
1030,Temple of Sethraliss
1031,Uldir
1036,Shrine of the Storm
1041,Kings' Rest
1176,Battle of Dazar'alor
1177,Crucible of Storms
1178,Operation: Mechagon
1179,The Eternal Palace
1180,"Ny'alotha, the Waking City"
1182,The Necrotic Wake
1183,Plaguefall
1184,Mists of Tirna Scithe
1185,Halls of Atonement
1186,Spires of Ascension
1187,Theater of Pain
1188,De Other Side
1189,Sanguine Depths
1190,Castle Nathria
1192,Shadowlands
1193,Sanctum of Domination
1194,"Tazavesh, the Veiled Market"
1195,Sepulcher of the First Ones
1196,Brackenhide Hollow
1197,Uldaman: Legacy of Tyr
1198,The Nokhud Offensive
1199,Neltharus
1200,Vault of the Incarnates
1201,Algeth'ar Academy
1202,Ruby Life Pools
1203,The Azure Vault
1204,Halls of Infusion
1205,Dragon Isles
1206,The Nokud Offensive
