ID,Name_lang,HordeName_lang,EffectArg[0],EffectArg[1],EffectArg[2],EffectScalingPoints[0],EffectScalingPoints[1],EffectScalingPoints[2],IconFileDataID,ItemLevelMin,ItemLevelMax,TransmogUseConditionID,TransmogCost,EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],ItemVisual,Flags,RequiredSkillID,RequiredSkillRank,ItemLevel,Charges,Effect[0],Effect[1],Effect[2],ScalingClass,ScalingClassRestricted,Condition_ID,MinLevel,MaxLevel
13,Aiguisé II,,0,0,0,1,0,0,0,2,50,0,0,1,0,0,28,33,0,0,5,0,2,0,0,-1,0,0,0,1
14,Aiguisé III,,0,0,0,0.3637,0,0,0,8,50,0,0,2,0,0,28,33,0,0,15,0,2,0,0,-1,0,0,0,7
15,Renforcé (+$k1 à l’Armure),,0,0,0,0.072,0,0,0,0,50,0,0,8,0,0,0,32,0,0,1,0,4,0,0,-1,0,0,0,25
16,Renforcé (+$k1 à l’Armure),,0,0,0,0.072,0,0,0,2,50,0,0,16,0,0,0,32,0,0,5,0,4,0,0,-1,0,0,0,25
17,Renforcé (+$k1 à l’Armure),,0,0,0,0.1,0,0,0,12,50,0,0,24,0,0,0,32,0,0,20,0,4,0,0,-1,0,0,0,25
18,Renforcé (+$k1 à l’Armure),,0,0,0,0.13,0,0,0,18,50,0,0,32,0,0,0,32,0,0,30,0,4,0,0,-1,0,0,0,25
19,Lesté I,,0,0,0,0.6667,0,0,0,0,50,0,0,1,0,0,0,33,0,0,1,0,2,0,0,-1,0,0,0,1
20,Lesté II,,0,0,0,1,0,0,0,2,50,0,0,1,0,0,0,33,0,0,1,0,2,0,0,-1,0,0,0,1
21,Lesté III,,0,0,0,0.3637,0,0,0,8,50,0,0,2,0,0,0,33,0,0,15,0,2,0,0,-1,0,0,0,7
24,+$k1 points de mana,,0,0,0,0.1,0,0,0,0,50,0,0,5,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,25
25,Huile des ténèbres,,14122,0,0,0,0,0,0,15,50,0,0,15,0,0,1,0,0,0,24,0,1,0,0,0,0,0,0,11
