ID,Name_lang
13,Affilato II
14,Affilato III
15,Rinforzato (+$k1 Armatura)
16,Rinforzato (+$k1 Armatura)
17,Rinforzato (+$k1 Armatura)
18,Rinforzato (+$k1 Armatura)
19,Appesantito I
20,Appesantito II
21,Appesantito III
24,+$k1 Mana
25,Olio d'Ombra
26,Olio del Freddo
30,Mirino (+$k1 Danni)
32,Mirino (+$k1 Danni)
33,Mirino (+$k1 Danni)
34,Contrappeso (+$k1 Indice di Celerità)
36,Brezzardente
37,Catena per Arma d'Acciaio
38,+$k1 Indice di Schivata
40,Affilato I
41,+$k1 Salute
43,Chiodatura di Ferro
44,Assorbimento ($7423s1)
63,Assorbimento ($7447s1)
64,+$k1 Indice di Versatilità
66,+$k1 Tempra
67,+$k1 Danni
68,+$k1 Forza
69,+$k1 Forza
70,+$k1 Forza
71,+$k1 Tempra
72,+$k1 Tempra
73,+$k1 Tempra
74,+$k1 Agilità
75,+$k1 Agilità
76,+$k1 Agilità
77,+$k1 Danni
78,+$k1 Danni
79,+$k1 Intelletto
80,+$k1 Intelletto
81,+$k1 Intelletto
82,+$k1 Indice di Versatilità
83,+$k1 Indice di Versatilità
84,+$k1 Indice di Versatilità
85,+$k1 Armatura
86,+$k1 Armatura
87,+$k1 Armatura
88,
89,+$k1 Armatura
90,+$k1 Agilità
91,+$k1 Agilità
92,+$k1 Agilità
93,+$k1 Agilità
94,+$k1 Intelletto
95,+$k1 Intelletto
96,+$k1 Intelletto
97,+$k1 Intelletto
98,+$k1 Indice di Versatilità
99,+$k1 Indice di Versatilità
100,+$k1 Indice di Versatilità
101,+$k1 Indice di Versatilità
102,+$k1 Tempra
103,+$k1 Tempra
104,+$k1 Tempra
105,+$k1 Tempra
106,+$k1 Forza
107,+$k1 Forza
108,+$k1 Forza
109,+$k1 Forza
110,+$k1 Indice di Schivata
111,+$k1 Indice di Schivata
112,+$k1 Indice di Schivata
113,+$k1 Indice di Schivata
114,+$k1 Indice di Schivata
115,+$k1 Indice di Schivata
116,+$k1 Indice di Schivata
117,+$k1 Danni
118,+$k1 Danni
119,+$k1 Danni
120,+$k1 Danni
121,+$k1 Armatura
122,+$k1 Armatura
123,+$k1 Armatura
125,+1 Competenza con le Spade
126,+2 Competenza con le Spade
127,+3 Competenza con le Spade
128,+4 Competenza con le Spade
129,+5 Competenza con le Spade
130,+6 Competenza con le Spade
131,+7 Competenza con le Spade
132,+1 Competenza con le Spade a Due Mani
133,+2 Competenza con le Spade a Due Mani
134,+3 Competenza con le Spade a Due Mani
135,+4 Competenza con le Spade a Due Mani
136,+5 Competenza con le Spade a Due Mani
137,+6 Competenza con le Spade a Due Mani
138,+7 Competenza con le Spade a Due Mani
139,+1 Competenza con le Mazze
140,+2 Competenza con le Mazze
141,+3 Competenza con le Mazze
142,+4 Competenza con le Mazze
143,+5 Competenza con le Mazze
144,+6 Competenza con le Mazze
145,+7 Competenza con le Mazze
146,+1 Competenza con le Mazze a Due Mani
147,+2 Competenza con le Mazze a Due Mani
148,+3 Competenza con le Mazze a Due Mani
149,+4 Competenza con le Mazze a Due Mani
150,+5 Competenza con le Mazze a Due Mani
151,+6 Competenza con le Mazze a Due Mani
152,+7 Competenza con le Mazze a Due Mani
153,+1 Competenza con le Asce
154,+2 Competenza con le Asce
155,+3 Competenza con le Asce
156,+4 Competenza con le Asce
157,+5 Competenza con le Asce
158,+6 Competenza con le Asce
159,+7 Competenza con le Asce
160,+1 Competenza con le Asce a Due Mani
161,+2 Competenza con le Asce a Due Mani
162,+3 Competenza con le Asce a Due Mani
163,+4 Competenza con le Asce a Due Mani
164,+5 Competenza con le Asce a Due Mani
165,+6 Competenza con le Asce a Due Mani
166,+7 Competenza con le Asce a Due Mani
167,+1 Competenza con le Daghe
168,+2 Competenza con le Daghe
169,+3 Competenza con le Daghe
170,+4 Competenza con le Daghe
171,+5 Competenza con le Daghe
172,+6 Competenza con le Daghe
173,+7 Competenza con le Daghe
174,+1 Competenza con le Armi da Fuoco
175,+2 Competenza con le Armi da Fuoco
176,+3 Competenza con le Armi da Fuoco
177,+4 Competenza con le Armi da Fuoco
178,+5 Competenza con le Armi da Fuoco
179,+6 Competenza con le Armi da Fuoco
180,+7 Competenza con le Armi da Fuoco
181,+1 Competenza con gli Archi
182,+2 Competenza con gli Archi
183,+3 Competenza con gli Archi
184,+4 Competenza con gli Archi
185,+5 Competenza con gli Archi
186,+6 Competenza con gli Archi
187,+7 Competenza con gli Archi
191,+$7593s1 Contro le Bestie
192,+$7594s1 Contro le Bestie
193,+$7595s1 Contro le Bestie
194,+$7596s1 Contro le Bestie
195,+$k1 Indice di Critico
196,+$k1 Indice di Critico
197,+$k1 Indice di Critico
198,+$k1 Indice di Critico
199,10% di Probabilità a Impatto: Dardo d'Ombra (+10 Danni)
200,10% di Probabilità a Impatto: Dardo d'Ombra (+20 Danni)
201,10% di Probabilità a Impatto: Dardo d'Ombra (+30 Danni)
202,10% di Probabilità a Impatto: Dardo d'Ombra (+40 Danni)
203,10% di Probabilità a Impatto: Dardo d'Ombra (+50 Danni)
204,10% di Probabilità a Impatto: Dardo d'Ombra (+60 Danni)
205,10% di Probabilità a Impatto: Dardo d'Ombra (+70 Danni)
241,+$k1 Danni dell'Arma
242,+$k1 Salute
243,+$k1 Indice di Versatilità
244,+$k1 Intelletto
245,+$k1 Armatura
246,+$k1 Mana
247,+$k1 Agilità
248,+$k1 Forza
249,+$7784s1 Contro le Bestie
250,+$k1 Danni dell'Arma
251,+$k1 Intelletto
252,+$k1 Indice di Versatilità
253,Assorbimento ($7848s1)
254,+$k1 Salute
255,+$k1 Indice di Versatilità
257,+$k1 Armatura
263,Esca (+$8082s1 Pesca)
264,Esca (+$8083s1 Pesca)
265,Esca (+$8084s1 Pesca)
266,Esca (+$8085s1 Pesca)
303,Globo del Fuoco
343,+$k1 Agilità
344,+$k1 Armatura
345,+$k1 Armatura
346,+$k1 Armatura
347,+$k1 Armatura
348,+$k1 Armatura
349,+$k1 Agilità
350,+$k1 Intelletto
351,+$k1 Indice di Versatilità
352,+$k1 Forza
353,+$k1 Tempra
354,+$k1 Intelletto
355,+$k1 Indice di Versatilità
356,+$k1 Tempra
357,+$k1 Forza
358,+$k1 Agilità
359,+$k1 Intelletto
360,+$k1 Indice di Versatilità
361,+$k1 Tempra
362,+$k1 Forza
363,+$k1 Agilità
364,+$k1 Intelletto
365,+$k1 Indice di Versatilità
366,+$k1 Tempra
367,+$k1 Forza
368,+$k1 Agilità
369,+$k1 Intelletto
370,+$k1 Indice di Versatilità
371,+$k1 Tempra
372,+$k1 Forza
383,+$k1 Armatura
384,+$k1 Armatura
385,+$k1 Armatura
386,+$k1 Armatura
387,+$k1 Armatura
388,+$k1 Armatura
389,+$k1 Armatura
403,+$k1 Agilità
404,+$k1 Agilità
405,+$k1 Intelletto
406,+$k1 Intelletto
407,+$k1 Indice di Versatilità
408,+$k1 Indice di Versatilità
409,+$k1 Tempra
410,+$k1 Forza
411,+$k1 Tempra
412,+$k1 Forza
423,+$k1 Potenza Magica
424,+$k1 Potenza Magica
425,Manichino del Tempio Nero
426,+$k1 Potenza Magica
427,+$9396s1 Potenza Magica
428,+$k1 Potenza Magica
429,+$k1 Potenza Magica
430,+$k1 Potenza Magica
431,+$k1 Potenza Magica
432,+$k1 Potenza Magica
436,+$k1 Indice di Critico
440,+$k1 Potenza Magica
441,+$k1 Potenza Magica
442,+$k1 Potenza Magica
463,Chiodatura di Mithril
464,+$7215s1% Velocità su Cavalcatura
483,Affilato IV
484,Appesantito IV
583,+$k1 Agilità / +$k2 Indice di Versatilità
584,+$k1 Agilità e +$k2 Intelletto
585,+$k1 Agilità e +$k2 Tempra
586,+$k1 Agilità e +$k2 Forza
587,+$k1 Intelletto / +$k2 Indice di Versatilità
588,+$k1 Intelletto e +$k2 Tempra
589,+$k1 Intelletto e +$k2 Forza
590,+$k1 Indice di Versatilità / +$k2 Tempra
591,+$k1 Indice di Versatilità / +$k2 Forza
592,+$k1 Tempra e +$k2 Forza
663,Mirino (+$k1 Danni)
664,Mirino (+$k1 Danni)
684,+$k1 Forza
723,+$k1 Intelletto
724,+$k1 Tempra
743,+$13418s1 Furtività
744,+$k1 Armatura
763,+$k1 Indice di Blocco
783,+$k1 Armatura
803,Armardente
805,+$k1 Danni dell'Arma
823,+$k1 Forza
843,+$k1 Mana
844,+$13611s1 Estrazione
845,+$13614s1 Erbalismo
846,+$71691s1 Pesca
847,+$13624s1 Tutti gli Attributi
848,+$k1 Armatura
849,+$k1 Agilità
850,+$k1 Salute
851,+$k1 Indice di Versatilità
852,+$k1 Tempra
853,+$13650s1 Contro le Bestie
854,+$13651s1 Contro gli Elementali
856,+$k1 Forza
857,+$k1 Mana
863,+$k1 Indice di Parata
865,+$13697s1 Scuoiatura
866,+$13625s1 Tutti gli Attributi
883,+$k1 Agilità
884,+$k1 Armatura
904,+$k1 Agilità
905,+$k1 Intelletto
906,+$13838s1 Estrazione
