ID,JournalEncounterID,ItemID,FactionMask,Flags,DifficultyMask
9111,89,2169,-1,2,1
9112,89,5195,-1,2,1
9113,89,65163,-1,2,2
9114,89,63467,-1,2,2
9115,89,5444,-1,2,1
9116,89,63468,-1,2,2
9117,89,63470,-1,2,2
9118,89,63471,-1,2,2
9119,90,5200,-1,2,1
9120,90,63473,-1,2,2
9121,90,63474,-1,2,2
9122,90,5443,-1,2,1
9123,90,63475,-1,2,2
9124,90,63476,-1,2,2
9125,90,5191,-1,2,1
9126,90,65164,-1,2,2
9127,90,5199,-1,2,1
9128,91,5201,-1,2,1
9129,91,1937,-1,2,1
9130,91,5187,-1,2,1
9131,91,65165,-1,2,2
9132,91,65166,-1,2,2
9133,91,65167,-1,2,2
9134,92,872,-1,2,1
9135,92,65168,-1,2,2
9136,92,65169,-1,2,2
9137,92,65170,-1,2,2
9138,92,1156,-1,2,1
9139,92,5196,-1,2,1
9140,93,5202,-1,2,1
9141,93,65171,-1,2,2
9142,93,65172,-1,2,2
9143,93,65173,-1,2,2
9144,93,65174,-1,2,2
9145,93,5192,-1,2,1
9146,93,5193,-1,2,1
9147,93,65177,-1,2,2
9148,93,5197,-1,2,1
9149,93,5198,-1,2,1
9150,95,63478,-1,2,2
9151,95,63479,-1,2,2
9153,95,65178,-1,2,2
9154,95,63482,-1,2,2
9155,95,63483,-1,2,2
9156,95,63484,-1,2,2
9157,95,63485,-1,2,2
9158,95,63486,-1,2,2
9160,96,63433,-1,2,2
9161,96,6314,-1,2,1
9162,96,63434,-1,2,2
9163,96,6323,-1,2,1
9164,96,63435,-1,2,2
9165,96,6324,-1,2,1
9166,96,63436,-1,2,2
9167,96,63437,-1,2,2
9168,97,63440,-1,2,2
9169,97,6321,-1,2,1
9170,97,63441,-1,2,2
9171,97,63444,-1,2,2
9172,97,5254,-1,2,1
9173,97,5943,-1,2,1
9174,97,63438,-1,2,2
9175,97,6319,-1,2,1
9176,97,63439,-1,2,2
9177,98,6320,-1,2,1
9178,98,63448,-1,2,2
9179,98,63449,-1,2,2
9180,98,63445,-1,2,2
9181,98,63446,-1,2,2
9182,98,3191,-1,2,1
9183,98,63447,-1,2,2
9184,99,6642,-1,2,1
9185,99,6341,-1,2,1
9186,99,63450,-1,2,2
