ID,Name_lang,FemaleName_lang
62,Arcano,Arcano
63,Fogo,Fogo
64,Gélido,Gélido
65,Sagrado,Sagrado
66,Proteção,Proteção
70,Retribuição,Retribuição
71,Armas,Armas
72,Fúria,Fúria
73,Proteção,Proteção
74,Ferocidade,Ferocidade
79,Astúcia,Astúcia
81,Tenacidade,Tenacidade
102,Equilíbrio,Equilíbrio
103,Feral,Feral
104,Guardião,Guardião
105,Restauração,Restauração
250,Sangue,Sangue
251,Gélido,Gélido
252,Profano,Profano
253,Domínio das Feras,Domínio das Feras
254,Precisão,Precisão
255,Sobrevivência,Sobrevivência
256,Disciplina,Disciplina
257,Sagrado,Sagrado
258,Sombra,Sombra
259,Assassinato,Assassinato
260,Fora da Lei,Fora da Lei
261,Subterfúgio,Subterfúgio
262,Elemental,Elemental
263,Aperfeiçoamento,Aperfeiçoamento
264,Restauração,Restauração
265,Suplício,Suplício
266,Demonologia,Demonologia
267,Destruição,Destruição
268,Mestre Cervejeiro,Mestre Cervejeiro
269,Andarilho do Vento,Andarilho do Vento
270,Tecelão da Névoa,Tecelão da Névoa
535,Ferocidade,Ferocidade
536,Astúcia,Astúcia
537,Tenacidade,Tenacidade
577,Devastação,Devastação
581,Vingança,Vingança
1444,Inicial,Inicial
1446,Inicial,Inicial
1447,Inicial,Inicial
1448,Inicial,Inicial
1449,Inicial,Inicial
1450,Inicial,Inicial
1451,Inicial,Inicial
1452,Inicial,Inicial
1453,Inicial,Inicial
1454,Inicial,Inicial
1455,Inicial,Inicial
1456,Inicial,Inicial
