ID,DisplayName_lang,HordeDisplayName_lang
43,Мечи,
44,Топоры,
45,Луки,
46,Огнестрельное оружие,
54,Дробящее оружие,
55,Двуручные мечи,
95,Защита,
98,Язык: всеобщий,
101,Расовая способность дворфов,
109,Язык: орочий,
111,Язык: дворфийский,
113,Язык: дарнасский,
115,Язык: таурахэ,
118,Бой с оружием в каждой руке,
124,Расовая способность тауренов,
125,Расовая способность орков,
126,Расовая способность ночных эльфов,
136,Посохи,
137,Язык: талассийский,
138,Язык: драконий,
139,Язык: наречие демонов,
140,Язык: наречие титанов,
141,Язык: древний,
142,Выживание,
148,Езда на лошадях,
149,Езда на волках,
150,Езда на тиграх,
152,Езда на баранах,
155,Плавание,
160,Двуручное дробящее оружие,
162,Рукопашный бой,
164,Кузнечное дело,
165,Кожевничество,
171,Алхимия,
172,Двуручные топоры,
173,Кинжалы,
182,Травничество,
183,GENERIC (DND),
185,Кулинария,
186,Горное дело,
188,Питомец: бес,
189,Прислужник: охотник Скверны,
197,Портняжное дело,
202,Инженерное дело,
203,Питомец: паук,
204,Прислужник: демон Бездны,
205,Прислужник: суккуб,
206,Прислужник: огненный голем,
207,Прислужник: страж ужаса,
208,Питомец: волк,
209,Питомец: кошка,
210,Питомец: медведь,
211,Питомец: кабан,
212,Питомец - кроколиск,
213,Питомец: падальщик,
214,Питомец: краб,
215,Питомец: примат,
217,Питомец: ящер,
218,Питомец: долгоног,
220,Расовая способность нежити,
226,Арбалеты,
228,Жезлы,
229,Древковое оружие,
236,Питомец: скорпид,
251,Питомец: черепаха,
270,Питомец: любой,
293,Латы,
313,Язык: гномский,
315,Язык: наречие троллей,
333,Наложение чар,
356,Рыбная ловля,
393,Снятие шкур,
413,Кольчужные доспехи,
414,Кожаные доспехи,
415,Тканевые доспехи,
433,Щит,
473,Кистевое оружие,
533,Езда на ящерах,
553,Вождение механострауса,
554,Верховая езда нежити,
653,Питомец: летучая мышь,
654,Питомец: гиена,
655,Питомец - хищная птица,
656,Питомец: крылатый змей,
673,Язык: наречие Отрекшихся,
713,Езда на кодо,
733,Расовая способность троллей,
753,Расовая способность гномов,
754,Расовая способность людей,
755,Ювелирное дело,
756,Расовая способность эльфов крови,
758,Питомец - управление,
759,Язык: дренейский,
760,Расовая способность дренеев,
761,Прислужник: страж Скверны,
762,Верховая езда,
763,Питомец: дракондор,
764,Питомец: скат Пустоты,
765,Питомец: Спороскат,
766,Питомец: астральная игуана,
767,Питомец: опустошитель,
768,Питомец: змей,
769,Внутренний,
773,Начертание,
775,Питомец - мотылек,
777,Средства передвижения,
778,Спутники,
780,Питомец - редкая химера,
781,Питомец - редкий дьявозавр,
782,Питомец - вурдалак,
783,Питомец - редкий акир,
784,Питомец - редкий червь,
785,Питомец - оса,
786,Питомец - редкий копытень,
787,Питомец: экзотическая гончая недр,
788,Питомец: экзотический зверек,
789,Расовая способность воргенов,
790,Расовая способность гоблинов,
791,Язык: гилнеасский,
792,Язык: гоблинский,
794,Археология,
795,Охотник,
796,Рыцарь смерти,
798,Друид,
800,Паладин,
804,Жрец,
805,Прислужник: элементаль воды,
808,Питомец - лиса,
810,Все - символы,
811,Питомец - собака,
815,Питомец - обезьяна,
817,Питомец - экзотический сланцевый зверь,
818,Жук,
821,Все - гильдейские бонусы,
824,Питомец - гидра,
829,Монах,
840,Воин,
849,Чернокнижник,
899,Расовая способность пандаренов,
904,Маг,
905,Язык: пандаренский нейтральный,
921,Разбойник,
924,Шаман,
927,Бес Скверны,
928,Повелитель Бездны,
929,Шиварра,
930,Наблюдатель,
931,Страж гнева,
934,Все - специализации,
960,Гравирование,
962,Питомец - первозданный элементаль огня,
963,Питомец - первозданный элементаль земли,
975,Путь Гриля,
976,Путь Вок,
977,Путь Котелка,
978,Путь Пароварки,
979,Путь Печи,
980,Путь варения напитков,
981,Кулинария для новичков,
982,Кулинария для подмастерьев,
983,Питомец - грызун,
984,Питомец - журавль,
985,Питомец - водный долгоног,
986,Pet - Exotic Stone Hound,
987,Питомец - груборог,
988,Питомец - василиск,
999,ИГРОКОВ НЕТ,
1305,Питомец - дикорог,
1748,Питомец - изначальный элементаль бури,
1777,Pet - Water Elemental Minor Talent Version,
1819,Питомец - речное чудище,
1830,Unused,
1848,Охотник на демонов,
1945,Лесозаготовка,
1981,Притомец - стражник жути,
1982,Питомец - абиссал,
1993,Питомец - олень,
2000,Торговая лавка,
2152,Боевые клинки,
2189,Питомец: механический,
2216,Питомец: поганище,
2279,Питомец - быки,
2280,Питомец - чешуешкурый,
2361,Питомец: шерстоперый,
2419,Расовая способность ночнорожденных,
2420,Расовая способность тауренов Крутогорья,
2421,Расовая способность озаренных дренеев,
2423,Расовая способность эльфов Бездны,
2437,Кул-тирасское кузнечное дело,Зандаларское кузнечное дело
2454,Кузнечное дело Legion,
2464,Язык: шалассийский,
2465,Язык: талассийский,
2472,Кузнечное дело Дренора,
2473,Кузнечное дело Пандарии,
2474,Кузнечное дело времен Катаклизма,
2475,Кузнечное дело Нордскола,
2476,Кузнечное дело Запределья,
2477,Кузнечное дело,
2478,Кул-тирасская алхимия,Зандаларская алхимия
2479,Алхимия Legion,
2480,Алхимия Дренора,
2481,Алхимия Пандарии,
2482,Алхимия времен Катаклизма,
2483,Алхимия Нордскола,
2484,Алхимия Запределья,
2485,Алхимия,
2486,Кул-тирасское наложение чар,Зандаларское наложение чар
2487,Наложение чар Legion,
2488,Наложение чар Дренора,
2489,Наложение чар Пандарии,
2491,Наложение чар времен Катаклизма,
2492,Наложение чар Нордскола,
2493,Наложение чар Запределья,
2494,Наложение чар,
